,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,South Africa,England,drawn,,Cape Town,"Dec 31, 1938 - Jan 4, 1939",Test # 268
1,South Africa,England,England,inns & 13 runs,Durban,"Jan 20-23, 1939",Test # 269
2,South Africa,England,drawn,,Johannesburg,"Feb 18-22, 1939",Test # 270
3,South Africa,England,drawn,,Durban,"Mar 3-14, 1939",Test # 271
4,England,West Indies,England,8 wickets,Lord's,"Jun 24-27, 1939",Test # 272
5,England,West Indies,drawn,,Manchester,"Jul 22-25, 1939",Test # 273
6,England,West Indies,drawn,,The Oval,"Aug 19-22, 1939",Test # 274
