,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,New Zealand,England,England,8 wickets,Christchurch,"Jan 10-13, 1930",Test # 186
1,West Indies,England,drawn,,Bridgetown,"Jan 11-16, 1930",Test # 187
2,New Zealand,England,drawn,,Wellington,"Jan 24-27, 1930",Test # 188
3,West Indies,England,England,167 runs,Port of Spain,"Feb 1-6, 1930",Test # 189
4,New Zealand,England,drawn,,Auckland,"Feb 14-17, 1930",Test # 190
5,New Zealand,England,drawn,,Auckland,"Feb 21-24, 1930",Test # 191
6,West Indies,England,West Indies,289 runs,Georgetown,"Feb 21-26, 1930",Test # 192
7,West Indies,England,drawn,,Kingston,"Apr 3-12, 1930",Test # 193
8,England,Australia,England,93 runs,Nottingham,"Jun 13-17, 1930",Test # 194
9,England,Australia,Australia,7 wickets,Lord's,"Jun 27-Jul 1, 1930",Test # 195
10,England,Australia,drawn,,Leeds,"Jul 11-15, 1930",Test # 196
11,England,Australia,drawn,,Manchester,"Jul 25-29, 1930",Test # 197
12,England,Australia,Australia,inns & 39 runs,The Oval,"Aug 16-22, 1930",Test # 198
13,Australia,West Indies,Australia,10 wickets,Adelaide,"Dec 12-16, 1930",Test # 199
14,South Africa,England,South Africa,28 runs,Johannesburg,"Dec 24-27, 1930",Test # 200
