,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Australia,West Indies,Australia,7 wickets,Melbourne,"Dec 30, 1960 - Jan 3, 1961",Test # 500
1,India,Pakistan,drawn,,Kolkata,"Dec 30, 1960 - Jan 4, 1961",Test # 501
2,Australia,West Indies,West Indies,222 runs,Sydney,"Jan 13-18, 1961",Test # 502
3,India,Pakistan,drawn,,Chennai,"Jan 13-18, 1961",Test # 503
4,Australia,West Indies,drawn,,Adelaide,"Jan 27-Feb 1, 1961",Test # 504
5,India,Pakistan,drawn,,Delhi,"Feb 8-13, 1961",Test # 505
6,Australia,West Indies,Australia,2 wickets,Melbourne,"Feb 10-15, 1961",Test # 506
7,England,Australia,drawn,,Birmingham,"Jun 8-13, 1961",Test # 507
8,England,Australia,Australia,5 wickets,Lord's,"Jun 22-26, 1961",Test # 508
9,England,Australia,England,8 wickets,Leeds,"Jul 6-8, 1961",Test # 509
10,England,Australia,Australia,54 runs,Manchester,"Jul 27-Aug 1, 1961",Test # 510
11,England,Australia,drawn,,The Oval,"Aug 17-22, 1961",Test # 511
12,Pakistan,England,England,5 wickets,Lahore,"Oct 21-26, 1961",Test # 512
13,India,England,drawn,,Brabourne,"Nov 11-16, 1961",Test # 513
14,India,England,drawn,,Kanpur,"Dec 1-6, 1961",Test # 514
15,South Africa,New Zealand,South Africa,30 runs,Durban,"Dec 8-12, 1961",Test # 515
16,India,England,drawn,,Delhi,"Dec 13-18, 1961",Test # 516
17,South Africa,New Zealand,drawn,,Johannesburg,"Dec 26-29, 1961",Test # 517
18,India,England,India,187 runs,Kolkata,"Dec 30, 1961 - Jan 4, 1962",Test # 518
