,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Australia,South Africa,Australia,8 wickets,Melbourne,"Jan 1-6, 1964",Test # 549
1,Australia,South Africa,drawn,,Sydney,"Jan 10-15, 1964",Test # 550
2,India,England,drawn,,Chennai,"Jan 10-15, 1964",Test # 551
3,India,England,drawn,,Brabourne,"Jan 21-26, 1964",Test # 552
4,Australia,South Africa,South Africa,10 wickets,Adelaide,"Jan 24-29, 1964",Test # 553
5,India,England,drawn,,Kolkata,"Jan 29-Feb 3, 1964",Test # 554
6,Australia,South Africa,drawn,,Sydney,"Feb 7-12, 1964",Test # 555
7,India,England,drawn,,Delhi,"Feb 8-13, 1964",Test # 556
8,India,England,drawn,,Kanpur,"Feb 15-20, 1964",Test # 557
9,New Zealand,South Africa,drawn,,Wellington,"Feb 21-25, 1964",Test # 558
10,New Zealand,South Africa,drawn,,Dunedin,"Feb 28-Mar 3, 1964",Test # 559
11,New Zealand,South Africa,drawn,,Auckland,"Mar 13-17, 1964",Test # 560
12,England,Australia,drawn,,Nottingham,"Jun 4-9, 1964",Test # 561
13,England,Australia,drawn,,Lord's,"Jun 18-23, 1964",Test # 562
14,England,Australia,Australia,7 wickets,Leeds,"Jul 2-6, 1964",Test # 563
15,England,Australia,drawn,,Manchester,"Jul 23-28, 1964",Test # 564
16,England,Australia,drawn,,The Oval,"Aug 13-18, 1964",Test # 565
17,India,Australia,Australia,139 runs,Chennai,"Oct 2-7, 1964",Test # 566
18,India,Australia,India,2 wickets,Brabourne,"Oct 10-15, 1964",Test # 567
19,India,Australia,drawn,,Kolkata,"Oct 17-22, 1964",Test # 568
20,Pakistan,Australia,drawn,,Karachi,"Oct 24-29, 1964",Test # 569
21,Australia,Pakistan,drawn,,Melbourne,"Dec 4-8, 1964",Test # 570
22,South Africa,England,England,inns & 104 runs,Durban,"Dec 4-8, 1964",Test # 571
23,South Africa,England,drawn,,Johannesburg,"Dec 23-29, 1964",Test # 572
