,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Pakistan,West Indies,drawn,,Multan,"Dec 30, 1980 - Jan 4, 1981",Test # 892
1,Australia,India,Australia,inns & 4 runs,Sydney,"Jan 2-4, 1981",Test # 893
2,Australia,India,drawn,,Adelaide,"Jan 23-27, 1981",Test # 894
3,Australia,India,India,59 runs,Melbourne,"Feb 7-11, 1981",Test # 895
4,West Indies,England,West Indies,inns & 79 runs,Port of Spain,"Feb 13-18, 1981",Test # 896
5,New Zealand,India,New Zealand,62 runs,Wellington,"Feb 21-25, 1981",Test # 897
6,New Zealand,India,drawn,,Christchurch,"Mar 6-11, 1981",Test # 898
7,New Zealand,India,drawn,,Auckland,"Mar 13-18, 1981",Test # 899
8,West Indies,England,West Indies,298 runs,Bridgetown,"Mar 13-18, 1981",Test # 900
9,West Indies,England,drawn,,St John's,"Mar 27-Apr 1, 1981",Test # 901
10,West Indies,England,drawn,,Kingston,"Apr 10-15, 1981",Test # 902
11,England,Australia,Australia,4 wickets,Nottingham,"Jun 18-21, 1981",Test # 903
12,England,Australia,drawn,,Lord's,"Jul 2-7, 1981",Test # 904
13,England,Australia,England,18 runs,Leeds,"Jul 16-21, 1981",Test # 905
14,England,Australia,England,29 runs,Birmingham,"Jul 30-Aug 2, 1981",Test # 906
15,England,Australia,England,103 runs,Manchester,"Aug 13-17, 1981",Test # 907
16,England,Australia,drawn,,The Oval,"Aug 27-Sep 1, 1981",Test # 908
17,Australia,Pakistan,Australia,286 runs,Perth,"Nov 13-17, 1981",Test # 909
18,Australia,Pakistan,Australia,10 wickets,Brisbane,"Nov 27-Dec 1, 1981",Test # 910
19,India,England,India,138 runs,Wankhede,"Nov 27-Dec 1, 1981",Test # 911
20,India,England,drawn,,Bengaluru,"Dec 9-14, 1981",Test # 912
21,Australia,Pakistan,Pakistan,inns & 82 runs,Melbourne,"Dec 11-15, 1981",Test # 913
22,India,England,drawn,,Delhi,"Dec 23-28, 1981",Test # 914
23,Australia,West Indies,Australia,58 runs,Melbourne,"Dec 26-30, 1981",Test # 915
