,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Australia,England,Australia,365 runs,Melbourne,"Jan 1-7, 1937",Test # 257
1,Australia,England,Australia,148 runs,Adelaide,"Jan 29-Feb 4, 1937",Test # 258
2,Australia,England,Australia,inns & 200 runs,Melbourne,"Feb 26-Mar 3, 1937",Test # 259
3,England,New Zealand,drawn,,Lord's,"Jun 26-29, 1937",Test # 260
4,England,New Zealand,England,130 runs,Manchester,"Jul 24-27, 1937",Test # 261
5,England,New Zealand,drawn,,The Oval,"Aug 14-17, 1937",Test # 262
