,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,India,West Indies,West Indies,inns & 45 runs,Kolkata,"Dec 31, 1966 - Jan 5, 1967",Test # 612
1,South Africa,Australia,Australia,6 wickets,Cape Town,"Dec 31, 1966 - Jan 5, 1967",Test # 613
2,India,West Indies,drawn,,Chennai,"Jan 13-18, 1967",Test # 614
3,South Africa,Australia,South Africa,8 wickets,Durban,"Jan 20-25, 1967",Test # 615
4,South Africa,Australia,drawn,,Johannesburg,"Feb 3-8, 1967",Test # 616
5,South Africa,Australia,South Africa,7 wickets,Gqeberha,"Feb 24-28, 1967",Test # 617
6,England,India,England,6 wickets,Leeds,"Jun 8-13, 1967",Test # 618
7,England,India,England,inns & 124 runs,Lord's,"Jun 22-26, 1967",Test # 619
8,England,India,England,132 runs,Birmingham,"Jul 13-15, 1967",Test # 620
9,England,Pakistan,drawn,,Lord's,"Jul 27-Aug 1, 1967",Test # 621
10,England,Pakistan,England,10 wickets,Nottingham,"Aug 10-15, 1967",Test # 622
11,England,Pakistan,England,8 wickets,The Oval,"Aug 24-28, 1967",Test # 623
12,Australia,India,Australia,146 runs,Adelaide,"Dec 23-28, 1967",Test # 624
13,Australia,India,Australia,inns & 4 runs,Melbourne,"Dec 30, 1967 - Jan 3, 1968",Test # 625
