,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Australia,South Africa,Australia,inns & 38 runs,Sydney,"Jan 9-13, 1953",Test # 362
1,West Indies,India,drawn,,Port of Spain,"Jan 21-28, 1953",Test # 363
2,Australia,South Africa,drawn,,Adelaide,"Jan 24-29, 1953",Test # 364
3,Australia,South Africa,South Africa,6 wickets,Melbourne,"Feb 6-12, 1953",Test # 365
4,West Indies,India,West Indies,142 runs,Bridgetown,"Feb 7-12, 1953",Test # 366
5,West Indies,India,drawn,,Port of Spain,"Feb 19-25, 1953",Test # 367
6,New Zealand,South Africa,South Africa,inns & 180 runs,Wellington,"Mar 6-10, 1953",Test # 368
7,West Indies,India,drawn,,Georgetown,"Mar 11-17, 1953",Test # 369
8,New Zealand,South Africa,drawn,,Auckland,"Mar 13-17, 1953",Test # 370
9,West Indies,India,drawn,,Kingston,"Mar 28-Apr 4, 1953",Test # 371
10,England,Australia,drawn,,Nottingham,"Jun 11-16, 1953",Test # 372
11,England,Australia,drawn,,Lord's,"Jun 25-30, 1953",Test # 373
12,England,Australia,drawn,,Manchester,"Jul 9-14, 1953",Test # 374
13,England,Australia,drawn,,Leeds,"Jul 23-28, 1953",Test # 375
14,England,Australia,England,8 wickets,The Oval,"Aug 15-19, 1953",Test # 376
15,South Africa,New Zealand,South Africa,inns & 58 runs,Durban,"Dec 11-15, 1953",Test # 377
16,South Africa,New Zealand,South Africa,132 runs,Johannesburg,"Dec 24-29, 1953",Test # 378
