,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Australia,Pakistan,Australia,348 runs,Melbourne,"Jan 1-6, 1977",Test # 790
1,India,England,England,10 wickets,Kolkata,"Jan 1-6, 1977",Test # 791
2,Australia,Pakistan,Pakistan,8 wickets,Sydney,"Jan 14-18, 1977",Test # 792
3,India,England,England,200 runs,Chennai,"Jan 14-19, 1977",Test # 793
4,India,England,India,140 runs,Bengaluru,"Jan 28-Feb 2, 1977",Test # 794
5,India,England,drawn,,Wankhede,"Feb 11-16, 1977",Test # 795
6,New Zealand,Australia,drawn,,Christchurch,"Feb 18-23, 1977",Test # 796
7,West Indies,Pakistan,drawn,,Bridgetown,"Feb 18-23, 1977",Test # 797
8,New Zealand,Australia,Australia,10 wickets,Auckland,"Feb 25-Mar 1, 1977",Test # 798
9,West Indies,Pakistan,West Indies,6 wickets,Port of Spain,"Mar 4-9, 1977",Test # 799
10,Australia,England,Australia,45 runs,Melbourne,"Mar 12-17, 1977",Test # 800
11,West Indies,Pakistan,drawn,,Georgetown,"Mar 18-23, 1977",Test # 801
12,West Indies,Pakistan,Pakistan,266 runs,Port of Spain,"Apr 1-6, 1977",Test # 802
13,West Indies,Pakistan,West Indies,140 runs,Kingston,"Apr 15-20, 1977",Test # 803
14,England,Australia,drawn,,Lord's,"Jun 16-21, 1977",Test # 804
15,England,Australia,England,9 wickets,Manchester,"Jul 7-12, 1977",Test # 805
16,England,Australia,England,7 wickets,Nottingham,"Jul 28-Aug 2, 1977",Test # 806
17,England,Australia,England,inns & 85 runs,Leeds,"Aug 11-15, 1977",Test # 807
18,England,Australia,drawn,,The Oval,"Aug 25-30, 1977",Test # 808
19,Australia,India,Australia,16 runs,Brisbane,"Dec 2-6, 1977",Test # 809
20,Pakistan,England,drawn,,Lahore,"Dec 14-19, 1977",Test # 810
21,Australia,India,Australia,2 wickets,Perth,"Dec 16-21, 1977",Test # 811
22,Australia,India,India,222 runs,Melbourne,"Dec 30, 1977 - Jan 4, 1978",Test # 812
