,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,India,England,drawn,,Kolkata,"Jan 5-8, 1934",Test # 231
1,India,England,England,202 runs,Chennai,"Feb 10-13, 1934",Test # 232
2,England,Australia,Australia,238 runs,Nottingham,"Jun 8-12, 1934",Test # 233
3,England,Australia,England,inns & 38 runs,Lord's,"Jun 22-25, 1934",Test # 234
4,England,Australia,drawn,,Manchester,"Jul 6-10, 1934",Test # 235
5,England,Australia,drawn,,Leeds,"Jul 20-24, 1934",Test # 236
6,England,Australia,Australia,562 runs,The Oval,"Aug 18-22, 1934",Test # 237
