,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,South Africa,England,drawn,,Cape Town,"Jan 1-6, 1965",Test # 573
1,New Zealand,Pakistan,drawn,,Wellington,"Jan 22-26, 1965",Test # 574
2,South Africa,England,drawn,,Johannesburg,"Jan 22-27, 1965",Test # 575
3,New Zealand,Pakistan,drawn,,Auckland,"Jan 29-Feb 2, 1965",Test # 576
4,New Zealand,Pakistan,drawn,,Christchurch,"Feb 12-16, 1965",Test # 577
5,South Africa,England,drawn,,Gqeberha,"Feb 12-17, 1965",Test # 578
6,India,New Zealand,drawn,,Chennai,"Feb 27-Mar 2, 1965",Test # 579
7,West Indies,Australia,West Indies,179 runs,Kingston,"Mar 3-8, 1965",Test # 580
8,India,New Zealand,drawn,,Kolkata,"Mar 5-8, 1965",Test # 581
9,India,New Zealand,drawn,,Brabourne,"Mar 12-15, 1965",Test # 582
10,India,New Zealand,India,7 wickets,Delhi,"Mar 19-22, 1965",Test # 583
11,West Indies,Australia,drawn,,Port of Spain,"Mar 26-Apr 1, 1965",Test # 584
12,Pakistan,New Zealand,Pakistan,inns & 64 runs,Rawalpindi,"Mar 27-30, 1965",Test # 585
13,Pakistan,New Zealand,drawn,,Lahore,"Apr 2-7, 1965",Test # 586
14,Pakistan,New Zealand,Pakistan,8 wickets,Karachi,"Apr 9-14, 1965",Test # 587
15,West Indies,Australia,West Indies,212 runs,Georgetown,"Apr 14-20, 1965",Test # 588
16,West Indies,Australia,drawn,,Bridgetown,"May 5-11, 1965",Test # 589
17,West Indies,Australia,Australia,10 wickets,Port of Spain,"May 14-17, 1965",Test # 590
18,England,New Zealand,England,9 wickets,Birmingham,"May 27-Jun 1, 1965",Test # 591
19,England,New Zealand,England,7 wickets,Lord's,"Jun 17-22, 1965",Test # 592
20,England,New Zealand,England,inns & 187 runs,Leeds,"Jul 8-13, 1965",Test # 593
21,England,South Africa,drawn,,Lord's,"Jul 22-27, 1965",Test # 594
22,England,South Africa,South Africa,94 runs,Nottingham,"Aug 5-9, 1965",Test # 595
23,England,South Africa,drawn,,The Oval,"Aug 26-31, 1965",Test # 596
24,Australia,England,drawn,,Brisbane,"Dec 10-15, 1965",Test # 597
25,Australia,England,drawn,,Melbourne,"Dec 30, 1965 - Jan 4, 1966",Test # 598
