,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,India,England,drawn,,Kolkata,"Jan 1-6, 1982",Test # 916
1,Australia,West Indies,drawn,,Sydney,"Jan 2-6, 1982",Test # 917
2,India,England,drawn,,Chennai,"Jan 13-18, 1982",Test # 918
3,Australia,West Indies,West Indies,5 wickets,Adelaide,"Jan 30-Feb 3, 1982",Test # 919
4,India,England,drawn,,Kanpur,"Jan 30-Feb 4, 1982",Test # 920
5,Sri Lanka,England,England,7 wickets,Colombo (PSS),"Feb 17-21, 1982",Test # 921
6,New Zealand,Australia,drawn,,Wellington,"Feb 26-Mar 2, 1982",Test # 922
7,Pakistan,Sri Lanka,Pakistan,204 runs,Karachi,"Mar 5-10, 1982",Test # 923
8,New Zealand,Australia,New Zealand,5 wickets,Auckland,"Mar 12-16, 1982",Test # 924
9,Pakistan,Sri Lanka,drawn,,Faisalabad,"Mar 14-19, 1982",Test # 925
10,New Zealand,Australia,Australia,8 wickets,Christchurch,"Mar 19-22, 1982",Test # 926
11,Pakistan,Sri Lanka,Pakistan,inns & 102 runs,Lahore,"Mar 22-27, 1982",Test # 927
12,England,India,England,7 wickets,Lord's,"Jun 10-15, 1982",Test # 928
13,England,India,drawn,,Manchester,"Jun 24-28, 1982",Test # 929
14,England,India,drawn,,The Oval,"Jul 8-13, 1982",Test # 930
15,England,Pakistan,England,113 runs,Birmingham,"Jul 29-Aug 1, 1982",Test # 931
16,England,Pakistan,Pakistan,10 wickets,Lord's,"Aug 12-16, 1982",Test # 932
17,England,Pakistan,England,3 wickets,Leeds,"Aug 26-31, 1982",Test # 933
18,India,Sri Lanka,drawn,,Chennai,"Sep 17-22, 1982",Test # 934
19,Pakistan,Australia,Pakistan,9 wickets,Karachi,"Sep 22-27, 1982",Test # 935
20,Pakistan,Australia,Pakistan,inns & 3 runs,Faisalabad,"Sep 30-Oct 5, 1982",Test # 936
21,Pakistan,Australia,Pakistan,9 wickets,Lahore,"Oct 14-19, 1982",Test # 937
22,Australia,England,drawn,,Perth,"Nov 12-17, 1982",Test # 938
23,Australia,England,Australia,7 wickets,Brisbane,"Nov 26-Dec 1, 1982",Test # 939
24,Australia,England,Australia,8 wickets,Adelaide,"Dec 10-15, 1982",Test # 940
25,Pakistan,India,drawn,,Lahore,"Dec 10-15, 1982",Test # 941
26,Pakistan,India,Pakistan,inns & 86 runs,Karachi,"Dec 23-27, 1982",Test # 942
27,Australia,England,England,3 runs,Melbourne,"Dec 26-30, 1982",Test # 943
