,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Australia,England,Australia,229 runs,Melbourne,"Jan 1-4, 1902",Test # 66
1,Australia,England,Australia,4 wickets,Adelaide,"Jan 17-23, 1902",Test # 67
2,Australia,England,Australia,7 wickets,Sydney,"Feb 14-18, 1902",Test # 68
3,Australia,England,Australia,32 runs,Melbourne,"Feb 28-Mar 4, 1902",Test # 69
4,England,Australia,drawn,,Birmingham,"May 29-31, 1902",Test # 70
5,England,Australia,drawn,,Lord's,"Jun 12-14, 1902",Test # 71
6,England,Australia,Australia,143 runs,Sheffield,"Jul 3-5, 1902",Test # 72
7,England,Australia,Australia,3 runs,Manchester,"Jul 24-26, 1902",Test # 73
8,England,Australia,England,1 wicket,The Oval,"Aug 11-13, 1902",Test # 74
9,South Africa,Australia,drawn,,Johannesburg,"Oct 11-14, 1902",Test # 75
10,South Africa,Australia,Australia,159 runs,Johannesburg,"Oct 18-21, 1902",Test # 76
11,South Africa,Australia,Australia,10 wickets,Cape Town,"Nov 8-11, 1902",Test # 77
