,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,South Africa,England,England,288 runs,Gqeberha,"Feb 13-14, 1896",Test # 47
1,South Africa,England,England,inns & 197 runs,Johannesburg,"Mar 2-4, 1896",Test # 48
2,South Africa,England,England,inns & 33 runs,Cape Town,"Mar 21-23, 1896",Test # 49
3,England,Australia,England,6 wickets,Lord's,"Jun 22-24, 1896",Test # 50
4,England,Australia,Australia,3 wickets,Manchester,"Jul 16-18, 1896",Test # 51
5,England,Australia,England,66 runs,The Oval,"Aug 10-12, 1896",Test # 52
