,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,West Indies,England,England,4 wickets,Bridgetown,"Jan 8-10, 1935",Test # 238
1,West Indies,England,West Indies,217 runs,Port of Spain,"Jan 24-28, 1935",Test # 239
2,West Indies,England,drawn,,Georgetown,"Feb 14-18, 1935",Test # 240
3,West Indies,England,West Indies,inns & 161 runs,Kingston,"Mar 14-18, 1935",Test # 241
4,England,South Africa,drawn,,Nottingham,"Jun 15-18, 1935",Test # 242
5,England,South Africa,South Africa,157 runs,Lord's,"Jun 29-Jul 2, 1935",Test # 243
6,England,South Africa,drawn,,Leeds,"Jul 13-16, 1935",Test # 244
7,England,South Africa,drawn,,Manchester,"Jul 27-30, 1935",Test # 245
8,England,South Africa,drawn,,The Oval,"Aug 17-20, 1935",Test # 246
9,South Africa,Australia,Australia,9 wickets,Durban,"Dec 14-18, 1935",Test # 247
10,South Africa,Australia,drawn,,Johannesburg,"Dec 24-28, 1935",Test # 248
