,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,India,England,India,187 runs,Kolkata,"Dec 30, 1961 - Jan 4, 1962",Test # 518
1,South Africa,New Zealand,New Zealand,72 runs,Cape Town,"Jan 1-4, 1962",Test # 519
2,India,England,India,128 runs,Chennai,"Jan 10-15, 1962",Test # 520
3,Pakistan,England,drawn,,Dhaka,"Jan 19-24, 1962",Test # 521
4,Pakistan,England,drawn,,Karachi,"Feb 2-7, 1962",Test # 522
5,South Africa,New Zealand,South Africa,inns & 51 runs,Johannesburg,"Feb 2-5, 1962",Test # 523
6,South Africa,New Zealand,New Zealand,40 runs,Gqeberha,"Feb 16-20, 1962",Test # 524
7,West Indies,India,West Indies,10 wickets,Port of Spain,"Feb 16-20, 1962",Test # 525
8,West Indies,India,West Indies,inns & 18 runs,Kingston,"Mar 7-12, 1962",Test # 526
9,West Indies,India,West Indies,inns & 30 runs,Bridgetown,"Mar 23-28, 1962",Test # 527
10,West Indies,India,West Indies,7 wickets,Port of Spain,"Apr 4-9, 1962",Test # 528
11,West Indies,India,West Indies,123 runs,Kingston,"Apr 13-18, 1962",Test # 529
12,England,Pakistan,England,inns & 24 runs,Birmingham,"May 31-Jun 4, 1962",Test # 530
13,England,Pakistan,England,9 wickets,Lord's,"Jun 21-23, 1962",Test # 531
14,England,Pakistan,England,inns & 117 runs,Leeds,"Jul 5-7, 1962",Test # 532
15,England,Pakistan,drawn,,Nottingham,"Jul 26-31, 1962",Test # 533
16,England,Pakistan,England,10 wickets,The Oval,"Aug 16-20, 1962",Test # 534
17,Australia,England,drawn,,Brisbane,"Nov 30-Dec 5, 1962",Test # 535
18,Australia,England,England,7 wickets,Melbourne,"Dec 29, 1962 - Jan 3, 1963",Test # 536
