,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Australia,India,Australia,233 runs,Melbourne,"Jan 1-5, 1948",Test # 292
1,West Indies,England,drawn,,Bridgetown,"Jan 21-26, 1948",Test # 293
2,Australia,India,Australia,inns & 16 runs,Adelaide,"Jan 23-28, 1948",Test # 294
3,Australia,India,Australia,inns & 177 runs,Melbourne,"Feb 6-10, 1948",Test # 295
4,West Indies,England,drawn,,Port of Spain,"Feb 11-16, 1948",Test # 296
5,West Indies,England,West Indies,7 wickets,Georgetown,"Mar 3-6, 1948",Test # 297
6,West Indies,England,West Indies,10 wickets,Kingston,"Mar 27-Apr 1, 1948",Test # 298
7,England,Australia,Australia,8 wickets,Nottingham,"Jun 10-15, 1948",Test # 299
8,England,Australia,Australia,409 runs,Lord's,"Jun 24-29, 1948",Test # 300
9,England,Australia,drawn,,Manchester,"Jul 8-13, 1948",Test # 301
10,England,Australia,Australia,7 wickets,Leeds,"Jul 22-27, 1948",Test # 302
11,England,Australia,Australia,inns & 149 runs,The Oval,"Aug 14-18, 1948",Test # 303
12,India,West Indies,drawn,,Delhi,"Nov 10-14, 1948",Test # 304
13,India,West Indies,drawn,,Brabourne,"Dec 9-13, 1948",Test # 305
14,South Africa,England,England,2 wickets,Durban,"Dec 16-20, 1948",Test # 306
15,South Africa,England,drawn,,Johannesburg,"Dec 27-30, 1948",Test # 307
16,India,West Indies,drawn,,Kolkata,"Dec 31, 1948 - Jan 4, 1949",Test # 308
