,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Australia,India,Australia,inns & 4 runs,Melbourne,"Dec 30, 1967 - Jan 3, 1968",Test # 625
1,Australia,India,Australia,39 runs,Brisbane,"Jan 19-24, 1968",Test # 626
2,West Indies,England,drawn,,Port of Spain,"Jan 19-24, 1968",Test # 627
3,Australia,India,Australia,144 runs,Sydney,"Jan 26-31, 1968",Test # 628
4,West Indies,England,drawn,,Kingston,"Feb 8-14, 1968",Test # 629
5,New Zealand,India,India,5 wickets,Dunedin,"Feb 15-20, 1968",Test # 630
6,New Zealand,India,New Zealand,6 wickets,Christchurch,"Feb 22-27, 1968",Test # 631
7,New Zealand,India,India,8 wickets,Wellington,"Feb 29-Mar 4, 1968",Test # 632
8,West Indies,England,drawn,,Bridgetown,"Feb 29-Mar 5, 1968",Test # 633
9,New Zealand,India,India,272 runs,Auckland,"Mar 7-12, 1968",Test # 634
10,West Indies,England,England,7 wickets,Port of Spain,"Mar 14-19, 1968",Test # 635
11,West Indies,England,drawn,,Georgetown,"Mar 28-Apr 3, 1968",Test # 636
12,England,Australia,Australia,159 runs,Manchester,"Jun 6-11, 1968",Test # 637
13,England,Australia,drawn,,Lord's,"Jun 20-25, 1968",Test # 638
14,England,Australia,drawn,,Birmingham,"Jul 11-16, 1968",Test # 639
15,England,Australia,drawn,,Leeds,"Jul 25-30, 1968",Test # 640
16,England,Australia,England,226 runs,The Oval,"Aug 22-27, 1968",Test # 641
17,Australia,West Indies,West Indies,125 runs,Brisbane,"Dec 6-10, 1968",Test # 642
18,Australia,West Indies,Australia,inns & 30 runs,Melbourne,"Dec 26-30, 1968",Test # 643
