,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Australia,Pakistan,Australia,92 runs,Melbourne,"Dec 29, 1972 - Jan 3, 1973",Test # 705
1,India,England,India,28 runs,Kolkata,"Dec 30, 1972 - Jan 4, 1973",Test # 706
2,Australia,Pakistan,Australia,52 runs,Sydney,"Jan 6-11, 1973",Test # 707
3,India,England,India,4 wickets,Chennai,"Jan 12-17, 1973",Test # 708
4,India,England,drawn,,Kanpur,"Jan 25-30, 1973",Test # 709
5,New Zealand,Pakistan,drawn,,Wellington,"Feb 2-5, 1973",Test # 710
6,India,England,drawn,,Brabourne,"Feb 6-11, 1973",Test # 711
7,New Zealand,Pakistan,Pakistan,inns & 166 runs,Dunedin,"Feb 7-10, 1973",Test # 712
8,New Zealand,Pakistan,drawn,,Auckland,"Feb 16-19, 1973",Test # 713
9,West Indies,Australia,drawn,,Kingston,"Feb 16-21, 1973",Test # 714
10,Pakistan,England,drawn,,Lahore,"Mar 2-7, 1973",Test # 715
11,West Indies,Australia,drawn,,Bridgetown,"Mar 9-14, 1973",Test # 716
12,Pakistan,England,drawn,,Hyderabad (Sind),"Mar 16-21, 1973",Test # 717
13,West Indies,Australia,Australia,44 runs,Port of Spain,"Mar 23-28, 1973",Test # 718
14,Pakistan,England,drawn,,Karachi,"Mar 24-29, 1973",Test # 719
15,West Indies,Australia,Australia,10 wickets,Georgetown,"Apr 6-11, 1973",Test # 720
16,West Indies,Australia,drawn,,Port of Spain,"Apr 21-26, 1973",Test # 721
17,England,New Zealand,England,38 runs,Nottingham,"Jun 7-12, 1973",Test # 722
18,England,New Zealand,drawn,,Lord's,"Jun 21-26, 1973",Test # 723
19,England,New Zealand,England,inns & 1 run,Leeds,"Jul 5-10, 1973",Test # 724
20,England,West Indies,West Indies,158 runs,The Oval,"Jul 26-31, 1973",Test # 725
21,England,West Indies,drawn,,Birmingham,"Aug 9-14, 1973",Test # 726
22,England,West Indies,West Indies,inns & 226 runs,Lord's,"Aug 23-27, 1973",Test # 727
23,Australia,New Zealand,Australia,inns & 25 runs,Melbourne,"Dec 29, 1973 - Jan 2, 1974",Test # 728
