,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,England,Australia,drawn,,Nottingham,"Jun 10-14, 1938",Test # 263
1,England,Australia,drawn,,Lord's,"Jun 24-28, 1938",Test # 264
2,England,Australia,Australia,5 wickets,Leeds,"Jul 22-25, 1938",Test # 265
3,England,Australia,England,inns & 579 runs,The Oval,"Aug 20-24, 1938",Test # 266
4,South Africa,England,drawn,,Johannesburg,"Dec 24-28, 1938",Test # 267
5,South Africa,England,drawn,,Cape Town,"Dec 31, 1938 - Jan 4, 1939",Test # 268
