,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Australia,England,drawn,,Melbourne,"Jan 1-7, 1947",Test # 281
1,Australia,England,drawn,,Adelaide,"Jan 31-Feb 6, 1947",Test # 282
2,Australia,England,Australia,5 wickets,Sydney,"Feb 28-Mar 5, 1947",Test # 283
3,New Zealand,England,drawn,,Christchurch,"Mar 21-25, 1947",Test # 284
4,England,South Africa,drawn,,Nottingham,"Jun 7-11, 1947",Test # 285
5,England,South Africa,England,10 wickets,Lord's,"Jun 21-25, 1947",Test # 286
6,England,South Africa,England,7 wickets,Manchester,"Jul 5-9, 1947",Test # 287
7,England,South Africa,England,10 wickets,Leeds,"Jul 26-29, 1947",Test # 288
8,England,South Africa,drawn,,The Oval,"Aug 16-20, 1947",Test # 289
9,Australia,India,Australia,inns & 226 runs,Brisbane,"Nov 28-Dec 4, 1947",Test # 290
10,Australia,India,drawn,,Sydney,"Dec 12-18, 1947",Test # 291
