,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,West Indies,New Zealand,drawn,,Kingston,"Feb 16-21, 1972",Test # 693
1,West Indies,New Zealand,drawn,,Port of Spain,"Mar 9-14, 1972",Test # 694
2,West Indies,New Zealand,drawn,,Bridgetown,"Mar 23-28, 1972",Test # 695
3,West Indies,New Zealand,drawn,,Georgetown,"Apr 6-11, 1972",Test # 696
4,West Indies,New Zealand,drawn,,Port of Spain,"Apr 20-26, 1972",Test # 697
5,England,Australia,England,89 runs,Manchester,"Jun 8-13, 1972",Test # 698
6,England,Australia,Australia,8 wickets,Lord's,"Jun 22-26, 1972",Test # 699
7,England,Australia,drawn,,Nottingham,"Jul 13-18, 1972",Test # 700
8,England,Australia,England,9 wickets,Leeds,"Jul 27-29, 1972",Test # 701
9,England,Australia,Australia,5 wickets,The Oval,"Aug 10-16, 1972",Test # 702
10,India,England,England,6 wickets,Delhi,"Dec 20-25, 1972",Test # 703
11,Australia,Pakistan,Australia,inns & 114 runs,Adelaide,"Dec 22-27, 1972",Test # 704
12,Australia,Pakistan,Australia,92 runs,Melbourne,"Dec 29, 1972 - Jan 3, 1973",Test # 705
13,India,England,India,28 runs,Kolkata,"Dec 30, 1972 - Jan 4, 1973",Test # 706
