,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Australia,England,Australia,103 runs,Melbourne,"Dec 29, 1978 - Jan 3, 1979",Test # 838
1,India,West Indies,drawn,,Kolkata,"Dec 29, 1978 - Jan 3, 1979",Test # 839
2,Australia,England,England,93 runs,Sydney,"Jan 6-11, 1979",Test # 840
3,India,West Indies,India,3 wickets,Chennai,"Jan 12-16, 1979",Test # 841
4,India,West Indies,drawn,,Delhi,"Jan 24-29, 1979",Test # 842
5,Australia,England,England,205 runs,Adelaide,"Jan 27-Feb 1, 1979",Test # 843
6,New Zealand,Pakistan,Pakistan,128 runs,Christchurch,"Feb 2-7, 1979",Test # 844
7,India,West Indies,drawn,,Kanpur,"Feb 2-8, 1979",Test # 845
8,Australia,England,England,9 wickets,Sydney,"Feb 10-14, 1979",Test # 846
9,New Zealand,Pakistan,drawn,,Napier,"Feb 16-21, 1979",Test # 847
10,New Zealand,Pakistan,drawn,,Auckland,"Feb 23-28, 1979",Test # 848
11,Australia,Pakistan,Pakistan,71 runs,Melbourne,"Mar 10-15, 1979",Test # 849
12,Australia,Pakistan,Australia,7 wickets,Perth,"Mar 24-29, 1979",Test # 850
13,England,India,England,inns & 83 runs,Birmingham,"Jul 12-16, 1979",Test # 851
14,England,India,drawn,,Lord's,"Aug 2-7, 1979",Test # 852
15,England,India,drawn,,Leeds,"Aug 16-21, 1979",Test # 853
16,England,India,drawn,,The Oval,"Aug 30-Sep 4, 1979",Test # 854
17,India,Australia,drawn,,Chennai,"Sep 11-16, 1979",Test # 855
18,India,Australia,drawn,,Bengaluru,"Sep 19-24, 1979",Test # 856
19,India,Australia,India,153 runs,Kanpur,"Oct 2-7, 1979",Test # 857
20,India,Australia,drawn,,Delhi,"Oct 13-18, 1979",Test # 858
21,India,Australia,drawn,,Kolkata,"Oct 26-31, 1979",Test # 859
22,India,Australia,India,inns & 100 runs,Wankhede,"Nov 3-7, 1979",Test # 860
23,India,Pakistan,drawn,,Bengaluru,"Nov 21-26, 1979",Test # 861
24,Australia,West Indies,drawn,,Brisbane,"Dec 1-5, 1979",Test # 862
25,India,Pakistan,drawn,,Delhi,"Dec 4-9, 1979",Test # 863
26,Australia,England,Australia,138 runs,Perth,"Dec 14-19, 1979",Test # 864
27,India,Pakistan,India,131 runs,Wankhede,"Dec 16-20, 1979",Test # 865
28,India,Pakistan,drawn,,Kanpur,"Dec 25-30, 1979",Test # 866
29,Australia,West Indies,West Indies,10 wickets,Melbourne,"Dec 29, 1979 - Jan 1, 1980",Test # 867
