,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Australia,West Indies,Australia,inns & 55 runs,Sydney,"Dec 30, 1984 - Jan 2, 1985",Test # 1006
1,India,England,drawn,,Kolkata,"Dec 31, 1984 - Jan 5, 1985",Test # 1007
2,India,England,England,9 wickets,Chennai,"Jan 13-18, 1985",Test # 1008
3,New Zealand,Pakistan,drawn,,Wellington,"Jan 18-22, 1985",Test # 1009
4,New Zealand,Pakistan,New Zealand,inns & 99 runs,Auckland,"Jan 25-28, 1985",Test # 1010
5,India,England,drawn,,Kanpur,"Jan 31-Feb 5, 1985",Test # 1011
6,New Zealand,Pakistan,New Zealand,2 wickets,Dunedin,"Feb 9-14, 1985",Test # 1012
7,West Indies,New Zealand,drawn,,Port of Spain,"Mar 29-Apr 3, 1985",Test # 1013
8,West Indies,New Zealand,drawn,,Georgetown,"Apr 6-11, 1985",Test # 1014
9,West Indies,New Zealand,West Indies,10 wickets,Bridgetown,"Apr 26-May 1, 1985",Test # 1015
10,West Indies,New Zealand,West Indies,10 wickets,Kingston,"May 4-8, 1985",Test # 1016
11,England,Australia,England,5 wickets,Leeds,"Jun 13-18, 1985",Test # 1017
12,England,Australia,Australia,4 wickets,Lord's,"Jun 27-Jul 2, 1985",Test # 1018
13,England,Australia,drawn,,Nottingham,"Jul 11-16, 1985",Test # 1019
14,England,Australia,drawn,,Manchester,"Aug 1-6, 1985",Test # 1020
15,England,Australia,England,inns & 118 runs,Birmingham,"Aug 15-20, 1985",Test # 1021
16,England,Australia,England,inns & 94 runs,The Oval,"Aug 29-Sep 2, 1985",Test # 1022
17,Sri Lanka,India,drawn,,Colombo (SSC),"Aug 30-Sep 4, 1985",Test # 1023
18,Sri Lanka,India,Sri Lanka,149 runs,Colombo (PSS),"Sep 6-11, 1985",Test # 1024
19,Sri Lanka,India,drawn,,Kandy,"Sep 14-19, 1985",Test # 1025
20,Pakistan,Sri Lanka,drawn,,Faisalabad,"Oct 16-21, 1985",Test # 1026
21,Pakistan,Sri Lanka,Pakistan,8 wickets,Sialkot,"Oct 27-31, 1985",Test # 1027
22,Pakistan,Sri Lanka,Pakistan,10 wickets,Karachi,"Nov 7-11, 1985",Test # 1028
23,Australia,New Zealand,New Zealand,inns & 41 runs,Brisbane,"Nov 8-12, 1985",Test # 1029
24,Australia,New Zealand,Australia,4 wickets,Sydney,"Nov 22-26, 1985",Test # 1030
25,Australia,New Zealand,New Zealand,6 wickets,Perth,"Nov 30-Dec 4, 1985",Test # 1031
26,Australia,India,drawn,,Adelaide,"Dec 13-17, 1985",Test # 1032
27,Australia,India,drawn,,Melbourne,"Dec 26-30, 1985",Test # 1033
