,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Australia,West Indies,Australia,7 wickets,Sydney,"Jan 3-7, 1976",Test # 767
1,Australia,West Indies,Australia,190 runs,Adelaide,"Jan 23-28, 1976",Test # 768
2,New Zealand,India,India,8 wickets,Auckland,"Jan 24-28, 1976",Test # 769
3,Australia,West Indies,Australia,165 runs,Melbourne,"Jan 31-Feb 5, 1976",Test # 770
4,New Zealand,India,drawn,,Christchurch,"Feb 5-10, 1976",Test # 771
5,New Zealand,India,New Zealand,inns & 33 runs,Wellington,"Feb 13-17, 1976",Test # 772
6,West Indies,India,West Indies,inns & 97 runs,Bridgetown,"Mar 10-13, 1976",Test # 773
7,West Indies,India,drawn,,Port of Spain,"Mar 24-29, 1976",Test # 774
8,West Indies,India,India,6 wickets,Port of Spain,"Apr 7-12, 1976",Test # 775
9,West Indies,India,West Indies,10 wickets,Kingston,"Apr 21-25, 1976",Test # 776
10,England,West Indies,drawn,,Nottingham,"Jun 3-8, 1976",Test # 777
11,England,West Indies,drawn,,Lord's,"Jun 17-22, 1976",Test # 778
12,England,West Indies,West Indies,425 runs,Manchester,"Jul 8-13, 1976",Test # 779
13,England,West Indies,West Indies,55 runs,Leeds,"Jul 22-27, 1976",Test # 780
14,England,West Indies,West Indies,231 runs,The Oval,"Aug 12-17, 1976",Test # 781
15,Pakistan,New Zealand,Pakistan,6 wickets,Lahore,"Oct 9-13, 1976",Test # 782
16,Pakistan,New Zealand,Pakistan,10 wickets,Hyderabad (Sind),"Oct 23-27, 1976",Test # 783
17,Pakistan,New Zealand,drawn,,Karachi,"Oct 30-Nov 4, 1976",Test # 784
18,India,New Zealand,India,162 runs,Wankhede,"Nov 10-15, 1976",Test # 785
19,India,New Zealand,drawn,,Kanpur,"Nov 18-23, 1976",Test # 786
20,India,New Zealand,India,216 runs,Chennai,"Nov 26-Dec 2, 1976",Test # 787
21,India,England,England,inns & 25 runs,Delhi,"Dec 17-22, 1976",Test # 788
22,Australia,Pakistan,drawn,,Adelaide,"Dec 24-29, 1976",Test # 789
