,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Australia,South Africa,Australia,169 runs,Melbourne,"Dec 31, 1931 - Jan 6, 1932",Test # 214
1,Australia,South Africa,Australia,10 wickets,Adelaide,"Jan 29-Feb 2, 1932",Test # 215
2,Australia,South Africa,Australia,inns & 72 runs,Melbourne,"Feb 12-15, 1932",Test # 216
3,New Zealand,South Africa,South Africa,inns & 12 runs,Christchurch,"Feb 27-Mar 1, 1932",Test # 217
4,New Zealand,South Africa,South Africa,8 wickets,Wellington,"Mar 4-7, 1932",Test # 218
5,England,India,England,158 runs,Lord's,"Jun 25-28, 1932",Test # 219
6,Australia,England,England,10 wickets,Sydney,"Dec 2-7, 1932",Test # 220
7,Australia,England,Australia,111 runs,Melbourne,"Dec 30, 1932 - Jan 3, 1933",Test # 221
