,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,New Zealand,Pakistan,New Zealand,61 runs,Wellington,"Jan 6, 2018",ODI # 3946
1,New Zealand,Pakistan,New Zealand,8 wickets,Nelson,"Jan 9, 2018",ODI # 3947
2,U.A.E.,Ireland,Ireland,4 wickets,ICCA Dubai,"Jan 11, 2018",ODI # 3948
3,New Zealand,Pakistan,New Zealand,183 runs,Dunedin,"Jan 13, 2018",ODI # 3949
4,U.A.E.,Ireland,Ireland,67 runs,ICCA Dubai,"Jan 13, 2018",ODI # 3950
5,Australia,England,England,5 wickets,Melbourne,"Jan 14, 2018",ODI # 3951
6,Bangladesh,Zimbabwe,Bangladesh,8 wickets,Mirpur,"Jan 15, 2018",ODI # 3952
7,New Zealand,Pakistan,New Zealand,5 wickets,Hamilton,"Jan 16, 2018",ODI # 3953
8,Ireland,Scotland,Ireland,6 wickets,ICCA Dubai,"Jan 16, 2018",ODI # 3954
9,Sri Lanka,Zimbabwe,Zimbabwe,12 runs,Mirpur,"Jan 17, 2018",ODI # 3955
10,Ireland,Scotland,Ireland,24 runs,ICCA Dubai,"Jan 18, 2018",ODI # 3956
11,New Zealand,Pakistan,New Zealand,15 runs,Wellington,"Jan 19, 2018",ODI # 3957
12,Australia,England,England,4 wickets,Brisbane,"Jan 19, 2018",ODI # 3958
13,Bangladesh,Sri Lanka,Bangladesh,163 runs,Mirpur,"Jan 19, 2018",ODI # 3959
14,Australia,England,England,16 runs,Sydney,"Jan 21, 2018",ODI # 3960
15,U.A.E.,Scotland,Scotland,31 runs,ICCA Dubai,"Jan 21, 2018",ODI # 3961
16,Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Mirpur,"Jan 21, 2018",ODI # 3962
17,U.A.E.,Scotland,U.A.E.,4 wickets,ICCA Dubai,"Jan 23, 2018",ODI # 3963
18,Bangladesh,Zimbabwe,Bangladesh,91 runs,Mirpur,"Jan 23, 2018",ODI # 3964
19,Bangladesh,Sri Lanka,Sri Lanka,10 wickets,Mirpur,"Jan 25, 2018",ODI # 3965
20,Australia,England,Australia,3 wickets,Adelaide,"Jan 26, 2018",ODI # 3966
21,Bangladesh,Sri Lanka,Sri Lanka,79 runs,Mirpur,"Jan 27, 2018",ODI # 3967
22,Australia,England,England,12 runs,Perth,"Jan 28, 2018",ODI # 3968
23,South Africa,India,India,6 wickets,Durban,"Feb 1, 2018",ODI # 3969
24,South Africa,India,India,9 wickets,Centurion,"Feb 4, 2018",ODI # 3970
25,South Africa,India,India,124 runs,Cape Town,"Feb 7, 2018",ODI # 3971
26,Afghanistan,Zimbabwe,Afghanistan,154 runs,Sharjah,"Feb 9, 2018",ODI # 3972
27,South Africa,India,South Africa,5 wickets,Johannesburg,"Feb 10, 2018",ODI # 3973
28,Afghanistan,Zimbabwe,Zimbabwe,154 runs,Sharjah,"Feb 11, 2018",ODI # 3974
29,Afghanistan,Zimbabwe,Afghanistan,6 wickets,Sharjah,"Feb 13, 2018",ODI # 3975
30,South Africa,India,India,73 runs,Gqeberha,"Feb 13, 2018",ODI # 3976
31,Afghanistan,Zimbabwe,Afghanistan,10 wickets,Sharjah,"Feb 16, 2018",ODI # 3977
32,South Africa,India,India,8 wickets,Centurion,"Feb 16, 2018",ODI # 3978
33,Afghanistan,Zimbabwe,Afghanistan,146 runs,Sharjah,"Feb 19, 2018",ODI # 3979
34,New Zealand,England,New Zealand,3 wickets,Hamilton,"Feb 25, 2018",ODI # 3980
35,New Zealand,England,England,6 wickets,Mount Maunganui,"Feb 28, 2018",ODI # 3981
36,New Zealand,England,England,4 runs,Wellington,"Mar 3, 2018",ODI # 3982
37,Afghanistan,Scotland,Scotland,7 wickets,Bulawayo,"Mar 4, 2018",ODI # 3983
38,P.N.G.,U.A.E.,U.A.E.,56 runs,Harare,"Mar 4, 2018",ODI # 3984
39,Hong Kong,Scotland,Scotland,4 wickets,Bulawayo,"Mar 6, 2018",ODI # 3985
40,Ireland,P.N.G.,Ireland,4 wickets,Harare,"Mar 6, 2018",ODI # 3986
41,U.A.E.,West Indies,West Indies,60 runs,Harare,"Mar 6, 2018",ODI # 3987
42,Zimbabwe,Afghanistan,Zimbabwe,2 runs,Bulawayo,"Mar 6, 2018",ODI # 3988
43,New Zealand,England,New Zealand,5 wickets,Dunedin,"Mar 7, 2018",ODI # 3989
44,Afghanistan,Hong Kong,Hong Kong,30 runs,Bulawayo,"Mar 8, 2018",ODI # 3990
45,P.N.G.,West Indies,West Indies,6 wickets,Harare,"Mar 8, 2018",ODI # 3991
46,New Zealand,England,England,7 wickets,Christchurch,"Mar 10, 2018",ODI # 3992
47,Ireland,West Indies,West Indies,52 runs,Harare,"Mar 10, 2018",ODI # 3993
48,Zimbabwe,Hong Kong,Zimbabwe,89 runs,Bulawayo,"Mar 10, 2018",ODI # 3994
49,Ireland,U.A.E.,Ireland,226 runs,Harare,"Mar 12, 2018",ODI # 3995
50,Zimbabwe,Scotland,tied,,Bulawayo,"Mar 12, 2018",ODI # 3996
51,Afghanistan,West Indies,Afghanistan,3 wickets,Harare,"Mar 15, 2018",ODI # 3997
52,Scotland,U.A.E.,Scotland,73 runs,Bulawayo,"Mar 15, 2018",ODI # 3998
53,Zimbabwe,Ireland,Zimbabwe,107 runs,Harare,"Mar 16, 2018",ODI # 3999
54,Hong Kong,P.N.G.,P.N.G.,58 runs,Harare,"Mar 17, 2018",ODI # 4000
55,Ireland,Scotland,Ireland,25 runs,Harare,"Mar 18, 2018",ODI # 4001
56,Zimbabwe,West Indies,West Indies,4 wickets,Harare,"Mar 19, 2018",ODI # 4002
57,Afghanistan,U.A.E.,Afghanistan,5 wickets,Harare,"Mar 20, 2018",ODI # 4003
