,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,U.A.E.,Ireland,U.A.E.,6 wickets,Abu Dhabi,"Jan 8, 2021",ODI # 4268
1,U.A.E.,Ireland,Ireland,112 runs,Abu Dhabi,"Jan 18, 2021",ODI # 4269
2,Bangladesh,West Indies,Bangladesh,6 wickets,Mirpur,"Jan 20, 2021",ODI # 4270
3,Afghanistan,Ireland,Afghanistan,16 runs,Abu Dhabi,"Jan 21, 2021",ODI # 4271
4,Bangladesh,West Indies,Bangladesh,7 wickets,Mirpur,"Jan 22, 2021",ODI # 4272
5,Afghanistan,Ireland,Afghanistan,7 wickets,Abu Dhabi,"Jan 24, 2021",ODI # 4273
6,Bangladesh,West Indies,Bangladesh,120 runs,Chattogram,"Jan 25, 2021",ODI # 4274
7,Afghanistan,Ireland,Afghanistan,36 runs,Abu Dhabi,"Jan 26, 2021",ODI # 4275
8,West Indies,Sri Lanka,West Indies,8 wickets,North Sound,"Mar 10, 2021",ODI # 4276
9,West Indies,Sri Lanka,West Indies,5 wickets,North Sound,"Mar 12, 2021",ODI # 4277
10,West Indies,Sri Lanka,West Indies,5 wickets,North Sound,"Mar 14, 2021",ODI # 4278
11,New Zealand,Bangladesh,New Zealand,8 wickets,Dunedin,"Mar 20, 2021",ODI # 4279
12,New Zealand,Bangladesh,New Zealand,5 wickets,Christchurch,"Mar 23, 2021",ODI # 4280
13,India,England,India,66 runs,Pune,"Mar 23, 2021",ODI # 4281
14,New Zealand,Bangladesh,New Zealand,164 runs,Wellington,"Mar 26, 2021",ODI # 4282
15,India,England,England,6 wickets,Pune,"Mar 26, 2021",ODI # 4283
16,India,England,India,7 runs,Pune,"Mar 28, 2021",ODI # 4284
17,South Africa,Pakistan,Pakistan,3 wickets,Centurion,"Apr 2, 2021",ODI # 4285
18,South Africa,Pakistan,South Africa,17 runs,Johannesburg,"Apr 4, 2021",ODI # 4286
19,South Africa,Pakistan,Pakistan,28 runs,Centurion,"Apr 7, 2021",ODI # 4287
20,Netherlands,Scotland,Netherlands,14 runs,Rotterdam,"May 19, 2021",ODI # 4288
