,Player,1st,2nd,,Team,Opposition,Ground,Match Date,Scorecard
0,KD Walters,242,103,,Australia,v West Indies,Sydney,14 Feb 1969,Test # 646
1,SM Gavaskar,124,220,,India,v West Indies,Port of Spain,13 Apr 1971,Test # 686
2,LG Rowe,214,100*,,West Indies,v New Zealand,Kingston,16 Feb 1972,Test # 693
3,GS Chappell,247*,133,,Australia,v New Zealand,Wellington,1 Mar 1974,Test # 733
4,GA Gooch,333,123,,England,v India,Lord's,26 Jul 1990,Test # 1148
5,BC Lara,221,130,,West Indies,v Sri Lanka,Colombo (SSC),29 Nov 2001,Test # 1572
6,KC Sangakkara,319,105,,Sri Lanka,v Bangladesh,Chattogram,4 Feb 2014,Test # 2117
