,Player,Opposition,Ground,Match Date,Debut,Time,Mat,Inns,Scorecard
0,SPD Smith (AUS),v Pakistan,Adelaide,29 Nov 2019,13 Jul 2010,9y 139d,70,126,Test # 2372
1,WR Hammond (ENG),v India,The Oval,17 Aug 1946,24 Dec 1927,18y 236d,80,131,Test # 278
2,V Sehwag (ICC/INDIA),v Sri Lanka,Colombo (PSS),3 Aug 2010,3 Nov 2001,8y 273d,79,134,Test # 1968
3,SR Tendulkar (INDIA),v South Africa,Bloemfontein,3 Nov 2001,15 Nov 1989,11y 353d,85,136,Test # 1564
4,GS Sobers (WI),v India,Georgetown,19 Mar 1971,30 Mar 1954,16y 354d,79,138,Test # 684
5,KC Sangakkara (SL),v Pakistan,Colombo (SSC),20 Jul 2009,20 Jul 2000,9y 0d,83,138,Test # 1927
6,V Kohli (INDIA),v South Africa,Pune,10 Oct 2019,20 Jun 2011,8y 112d,81,138,Test # 2364
7,Mohammad Yousuf (PAK),v Sri Lanka,Colombo (SSC),20 Jul 2009,26 Feb 1998,11y 144d,82,139,Test # 1927
8,SM Gavaskar (INDIA),v Pakistan,Lahore,10 Dec 1982,6 Mar 1971,11y 279d,80,140,Test # 941
9,IVA Richards (WI),v Pakistan,Bridgetown,22 Apr 1988,22 Nov 1974,13y 152d,94,140,Test # 1097
10,R Dravid (INDIA),v Australia,Wankhede,3 Nov 2004,20 Jun 1996,8y 136d,82,141,Test # 1720
11,ML Hayden (AUS),v South Africa,Cape Town,16 Mar 2006,4 Mar 1994,12y 12d,80,142,Test # 1789
12,KS Williamson (NZ),v Pakistan,Christchurch,3 Jan 2021,4 Nov 2010,10y 60d,83,144,Test # 2400
13,Javed Miandad (PAK),v Australia,Lahore,7 Oct 1988,9 Oct 1976,11y 364d,95,145,Test # 1106
14,RT Ponting (AUS),v England,Lord's,21 Jul 2005,8 Dec 1995,9y 225d,89,145,Test # 1756
15,BC Lara (WI),v Sri Lanka,Colombo (SSC),29 Nov 2001,6 Dec 1990,10y 358d,83,146,Test # 1572
16,Younis Khan (PAK),v Zimbabwe,Harare,10 Sep 2013,26 Feb 2000,13y 196d,84,147,Test # 2096
17,GC Smith (ICC/SA),v West Indies,Basseterre,18 Jun 2010,8 Mar 2002,8y 102d,85,148,Test # 1961
18,MJ Clarke (AUS),v India,Chennai,22 Feb 2013,6 Oct 2004,8y 139d,90,149,Test # 2074
19,DPMD Jayawardene (SL),v England,Colombo (SSC),9 Dec 2007,2 Aug 1997,10y 129d,92,150,Test # 1853
20,KP Pietersen (ENG),v South Africa,Leeds,2 Aug 2012,21 Jul 2005,7y 12d,88,150,Test # 2051
21,GS Chappell (AUS),v Pakistan,Sydney,2 Jan 1984,11 Dec 1970,13y 22d,87,151,Test # 974
22,JH Kallis (SA),v West Indies,Georgetown,31 Mar 2005,14 Dec 1995,9y 107d,90,151,Test # 1745
23,AN Cook (ENG),v India,Kolkata,5 Dec 2012,1 Mar 2006,6y 279d,86,151,Test # 2065
24,AB de Villiers (SA),v Australia,Gqeberha,20 Feb 2014,17 Dec 2004,9y 65d,91,151,Test # 2121
25,DA Warner (AUS),v New Zealand,Perth,12 Dec 2019,1 Dec 2011,8y 11d,82,151,Test # 2374
26,HM Amla (SA),v England,Cape Town,2 Jan 2016,28 Nov 2004,11y 35d,90,152,Test # 2197
27,Inzamam-ul-Haq (PAK),v Sri Lanka,Karachi,28 Oct 2004,4 Jun 1992,12y 146d,96,158,Test # 1719
28,JE Root (ENG),v Australia,The Oval,12 Sep 2019,13 Dec 2012,6y 273d,86,158,Test # 2362
29,AR Border (AUS),v New Zealand,Adelaide,11 Dec 1987,29 Dec 1978,8y 347d,91,159,Test # 1084
30,JL Langer (AUS),v England,The Oval,8 Sep 2005,23 Jan 1993,12y 228d,93,159,Test # 1763
31,CH Lloyd (WI),v England,Lord's,28 Jun 1984,13 Dec 1966,17y 198d,102,163,Test # 990
32,MC Cowdrey (ENG),v Australia,Birmingham,11 Jul 1968,26 Nov 1954,13y 228d,100,165,Test # 639
33,G Boycott (ENG),v Australia,Lord's,28 Aug 1980,4 Jun 1964,16y 85d,94,165,Test # 885
34,GA Gooch (ENG),v Sri Lanka,Lord's,22 Aug 1991,10 Jul 1975,16y 43d,91,166,Test # 1176
35,G Kirsten (SA),v West Indies,Durban,26 Dec 2003,26 Dec 1993,10y 0d,96,167,Test # 1679
36,LRPL Taylor (NZ),v England,Hamilton,29 Nov 2019,8 Nov 2007,12y 21d,96,169,Test # 2371
37,CG Greenidge (WI),v England,St John's,12 Apr 1990,22 Nov 1974,15y 141d,100,170,Test # 1144
38,DI Gower (ENG),v West Indies,Leeds,21 Jul 1988,1 Jun 1978,10y 50d,100,172,Test # 1101
39,MA Taylor (AUS),v Pakistan,Peshawar,15 Oct 1998,26 Jan 1989,9y 262d,98,173,Test # 1426
40,Azhar Ali (PAK),v Australia,Lahore,21 Mar 2022,13 Jul 2010,11y 251d,94,173,Test # 2458
41,SR Waugh (AUS),v England,Melbourne,26 Dec 1998,26 Dec 1985,13y 0d,110,174,Test # 1436
