,Player,Opposition,Ground,Match Date,Debut,Time,Mat,Inns,Scorecard
0,BC Lara (WI),v England,Manchester,12 Aug 2004,6 Dec 1990,13y 250d,111,195,Test # 1711
1,SR Tendulkar (INDIA),v Pakistan,Kolkata,16 Mar 2005,15 Nov 1989,15y 121d,122,195,Test # 1741
2,KC Sangakkara (SL),v Australia,Melbourne,26 Dec 2012,20 Jul 2000,12y 159d,115,195,Test # 2068
3,RT Ponting (AUS),v West Indies,North Sound,30 May 2008,8 Dec 1995,12y 174d,118,196,Test # 1877
4,R Dravid (ICC/INDIA),v South Africa,Chennai,26 Mar 2008,20 Jun 1996,11y 280d,120,206,Test # 1870
5,Younis Khan (PAK),v West Indies,Kingston,21 Apr 2017,26 Feb 2000,17y 54d,116,208,Test # 2259
6,DPMD Jayawardene (SL),v South Africa,Durban,26 Dec 2011,2 Aug 1997,14y 146d,127,210,Test # 2026
7,SM Gavaskar (INDIA),v Pakistan,Ahmedabad,4 Mar 1987,6 Mar 1971,15y 363d,124,212,Test # 1071
8,JH Kallis (ICC/SA),v Australia,Johannesburg,26 Feb 2009,14 Dec 1995,13y 74d,129,217,Test # 1910
9,JE Root (ENG),v New Zealand,Lord's,2 Jun 2022,13 Dec 2012,9y 171d,118,218,Test # 2464
10,AN Cook (ENG),v Sri Lanka,Chester-le-Street,27 May 2016,1 Mar 2006,10y 87d,128,229,Test # 2204
11,AR Border (AUS),v West Indies,Sydney,2 Jan 1993,29 Dec 1978,14y 4d,136,235,Test # 1208
12,S Chanderpaul (WI),v Australia,Roseau,23 Apr 2012,17 Mar 1994,18y 37d,140,239,Test # 2042
13,SR Waugh (AUS),v England,Sydney,2 Jan 2003,26 Dec 1985,17y 7d,156,244,Test # 1636
