,Player,1st,2nd,Runs,,Team,Opposition,Ground,Match Date,Scorecard
67,A Flower,74,129,203,,Zimbabwe,v Sri Lanka,Harare,26 Nov 1999,Test # 1473
68,DM Bravo,87,116,203,,West Indies,v Pakistan,Dubai (DSC),13 Oct 2016,Test # 2224
69,RR Pant,146,57,203,,India,v England,Birmingham,1 Jul 2022,Test # 2470
70,G Giffen,161,41,202,,Australia,v England,Sydney,14 Dec 1894,Test # 42
71,JR Reid,60,142,202,,New Zealand,v South Africa,Johannesburg,2 Feb 1962,Test # 523
72,Taufeeq Umar,135,67,202,,Pakistan,v South Africa,Cape Town,2 Jan 2003,Test # 1637
73,L Hutton,156*,45,201,,England,v Australia,Adelaide,2 Feb 1951,Test # 330
74,A Jackson,164,36,200,,Australia,v England,Adelaide,1 Feb 1929,Test # 179
75,IVA Richards,177,23,200,,West Indies,v India,Port of Spain,7 Apr 1976,Test # 775
76,BC Lara,196,4,200,,West Indies,v South Africa,Port of Spain,8 Apr 2005,Test # 1747
77,Mohammad Yousuf,192,8,200,,Pakistan,v England,Leeds,4 Aug 2006,Test # 1813
78,RT Ponting,101,99,200,,Australia,v South Africa,Melbourne,26 Dec 2008,Test # 1902
79,V Kohli,149,51,200,,India,v England,Birmingham,1 Aug 2018,Test # 2314
80,Tamim Iqbal,126,74,200,,Bangladesh,v New Zealand,Hamilton,28 Feb 2019,Test # 2349
