,Minutes,Player,Match,Location,Year
0,214,DG Bradman,Australia v England,Leeds,1930
1,217,NJ Astle,New Zealand v England,Christchurch,2002
2,223,SJ McCabe,Australia v England,Nottingham,1938
3,226,VT Trumper,Australia v South Africa,Adelaide,1911
4,234,DG Bradman,Australia v England,Lord's,1930
5,240,WR Hammond,England v New Zealand,Auckland,1933
6,241,SE Gregory,Australia v England,Sydney,1894
7,245,DCS Compton,England v Pakistan,Nottingham,1954
