,Player,Opposition,Ground,Match Date,Debut,Time,Mat,Inns,Scorecard
0,SPD Smith (AUS),v Pakistan,Lahore,21 Mar 2022,13 Jul 2010,11y 251d,85,151,Test # 2458
1,KC Sangakkara (SL),v India,Colombo (PSS),3 Aug 2010,20 Jul 2000,10y 14d,91,152,Test # 1968
2,SR Tendulkar (INDIA),v West Indies,Kingston,18 May 2002,15 Nov 1989,12y 184d,96,154,Test # 1604
3,GS Sobers (WI),v England,Kingston,16 Feb 1974,30 Mar 1954,19y 323d,91,157,Test # 732
4,R Dravid (ICC/INDIA),v Sri Lanka,Delhi,10 Dec 2005,20 Jun 1996,9y 173d,94,158,Test # 1776
5,V Sehwag (ICC/INDIA),v Australia,Melbourne,26 Dec 2011,3 Nov 2001,10y 53d,93,160,Test # 2025
6,Javed Miandad (PAK),v New Zealand,Faisalabad,26 Oct 1990,9 Oct 1976,14y 17d,107,162,Test # 1153
7,BC Lara (WI),v Australia,St John's,9 May 2003,6 Dec 1990,12y 154d,94,164,Test # 1645
8,ML Hayden (AUS),v India,Melbourne,26 Dec 2007,4 Mar 1994,13y 297d,92,164,Test # 1855
9,RT Ponting (AUS),v South Africa,Sydney,2 Jan 2006,8 Dec 1995,10y 25d,100,165,Test # 1780
10,DPMD Jayawardene (SL),v Pakistan,Karachi,21 Feb 2009,2 Aug 1997,11y 203d,101,165,Test # 1909
11,Younis Khan (PAK),v Australia,Abu Dhabi,30 Oct 2014,26 Feb 2000,14y 246d,93,165,Test # 2142
12,SM Gavaskar (INDIA),v West Indies,Delhi,29 Oct 1983,6 Mar 1971,12y 237d,95,166,Test # 965
13,IVA Richards (WI),v Australia,Kingston,1 Mar 1991,22 Nov 1974,16y 99d,112,167,Test # 1166
14,V Kohli (INDIA),v Sri Lanka,Mohali,4 Mar 2022,20 Jun 2011,10y 257d,100,169,Test # 2452
15,JH Kallis (ICC/SA),v New Zealand,Cape Town,27 Apr 2006,14 Dec 1995,10y 134d,101,170,Test # 1800
16,MJ Clarke (AUS),v England,Melbourne,26 Dec 2013,6 Oct 2004,9y 81d,101,172,Test # 2110
17,AB de Villiers (SA),v England,Cape Town,2 Jan 2016,17 Dec 2004,11y 16d,104,172,Test # 2197
18,GC Smith (ICC/SA),v New Zealand,Wellington,23 Mar 2012,8 Mar 2002,10y 15d,99,173,Test # 2037
19,Inzamam-ul-Haq (ICC/PAK),v England,Lahore,29 Nov 2005,4 Jun 1992,13y 178d,105,175,Test # 1774
20,KP Pietersen (ENG),v Australia,Perth,13 Dec 2013,21 Jul 2005,8y 145d,102,176,Test # 2107
21,HM Amla (SA),v England,Nottingham,14 Jul 2017,28 Nov 2004,12y 228d,105,178,Test # 2264
22,JE Root (ENG),v Sri Lanka,Galle,14 Jan 2021,13 Dec 2012,8y 32d,98,178,Test # 2403
23,AN Cook (ENG),v Australia,Melbourne,26 Dec 2013,1 Mar 2006,7y 300d,101,181,Test # 2110
24,AR Border (AUS),v England,Birmingham,6 Jul 1989,29 Dec 1978,10y 189d,105,184,Test # 1123
25,GA Gooch (ENG),v Australia,Nottingham,1 Jul 1993,10 Jul 1975,17y 356d,104,189,Test # 1225
26,G Boycott (ENG),v India,Delhi,23 Dec 1981,4 Jun 1964,17y 202d,107,190,Test # 914
27,S Chanderpaul (WI),v Australia,Bridgetown,12 Jun 2008,17 Mar 1994,14y 87d,112,193,Test # 1879
28,SR Waugh (AUS),v India,Adelaide,10 Dec 1999,26 Dec 1985,13y 349d,123,194,Test # 1476
29,DI Gower (ENG),v Australia,Sydney,4 Jan 1991,1 Jun 1978,12y 217d,112,195,Test # 1160
