,Player,1st,2nd,,Team,Opposition,Ground,Match Date,Scorecard
71,DI Gower,100,0,,England,v Australia,Melbourne,26 Dec 1990,Test # 1159
72,ME Waugh,139*,0,,Australia,v West Indies,St John's,27 Apr 1991,Test # 1170
73,RB Richardson,104,0,,West Indies,v England,Birmingham,25 Jul 1991,Test # 1174
74,JG Wright,116,0,,New Zealand,v England,Wellington,6 Feb 1992,Test # 1187
75,AC Hudson,163,0,,South Africa,v West Indies,Bridgetown,18 Apr 1992,Test # 1188
76,A Ranatunga,127,0,,Sri Lanka,v Australia,Colombo (SSC),17 Aug 1992,Test # 1194
77,KLT Arthurton,157*,0,,West Indies,v Australia,Brisbane,27 Nov 1992,Test # 1202
78,MD Crowe,0,107,,New Zealand,v Sri Lanka,Colombo (SSC),6 Dec 1992,Test # 1204
79,CC Lewis,0,117,,England,v India,Chennai,11 Feb 1993,Test # 1213
80,MA Atherton,144,0,,England,v West Indies,Georgetown,17 Mar 1994,Test # 1254
81,MW Gatting,117,0,,England,v Australia,Adelaide,26 Jan 1995,Test # 1284
82,GP Thorpe,123,0,,England,v Australia,Perth,3 Feb 1995,Test # 1287
83,PA de Silva,0,105,,Sri Lanka,v Pakistan,Faisalabad,15 Sep 1995,Test # 1305
84,HP Tillakaratne,115,0,,Sri Lanka,v Pakistan,Faisalabad,15 Sep 1995,Test # 1305
85,NR Mongia,152,0,,India,v Australia,Delhi,10 Oct 1996,Test # 1335
86,Mohammad Wasim,0,109*,,Pakistan,v New Zealand,Lahore,21 Nov 1996,Test # 1339
87,N Hussain,113,0,,England,v Zimbabwe,Bulawayo,18 Dec 1996,Test # 1345
88,G Kirsten,103,0,,South Africa,v India,Cape Town,2 Jan 1997,Test # 1349
89,CL Hooper,0,106,,West Indies,v Pakistan,Karachi,6 Dec 1997,Test # 1391
90,S Chanderpaul,118,0,,West Indies,v England,Georgetown,27 Feb 1998,Test # 1404
91,MW Goodwin,0,166*,,Zimbabwe,v Pakistan,Bulawayo,14 Mar 1998,Test # 1408
92,DJ Cullinan,103,0,,South Africa,v Sri Lanka,Centurion,27 Mar 1998,Test # 1414
93,CD McMillan,0,142,,New Zealand,v Sri Lanka,Colombo (RPS),27 May 1998,Test # 1415
94,GA Hick,107,0,,England,v Sri Lanka,The Oval,27 Aug 1998,Test # 1423
95,DJ Cullinan,168,0,,South Africa,v West Indies,Cape Town,2 Jan 1999,Test # 1440
96,G Kirsten,0,134,,South Africa,v West Indies,Centurion,15 Jan 1999,Test # 1441
97,SR Tendulkar,0,136,,India,v Pakistan,Chennai,28 Jan 1999,Test # 1442
98,Saeed Anwar,0,188*,,Pakistan,v India,Kolkata,16 Feb 1999,Test # 1444
99,HH Gibbs,120,0,,South Africa,v New Zealand,Wellington,18 Mar 1999,Test # 1452
100,TM Dilshan,163*,0,,Sri Lanka,v Zimbabwe,Harare,26 Nov 1999,Test # 1473
101,SL Campbell,170,0,,West Indies,v New Zealand,Hamilton,16 Dec 1999,Test # 1477
102,MV Boucher,0,108,,South Africa,v England,Durban,26 Dec 1999,Test # 1480
103,MS Atapattu,120,0,,Sri Lanka,v South Africa,Kandy,30 Jul 2000,Test # 1505
104,Shahid Afridi,107,0,,Pakistan,v West Indies,Sharjah,7 Feb 2002,Test # 1588
105,A Flintoff,0,137,,England,v New Zealand,Christchurch,13 Mar 2002,Test # 1594
106,SR Tendulkar,117,0,,India,v West Indies,Port of Spain,19 Apr 2002,Test # 1599
107,MP Vaughan,0,100,,England,v India,Lord's,25 Jul 2002,Test # 1610
108,V Sehwag,106,0,,India,v England,Nottingham,8 Aug 2002,Test # 1612
109,MP Vaughan,0,183,,England,v Australia,Sydney,2 Jan 2003,Test # 1636
110,D Ganga,0,113,,West Indies,v Australia,Georgetown,10 Apr 2003,Test # 1638
111,Javed Omar,119,0,,Bangladesh,v Pakistan,Peshawar,27 Aug 2003,Test # 1657
112,JL Langer,121,0,,Australia,v India,Brisbane,4 Dec 2003,Test # 1671
113,RT Ponting,242,0,,Australia,v India,Adelaide,12 Dec 2003,Test # 1673
114,SP Fleming,192,0,,New Zealand,v Pakistan,Hamilton,19 Dec 2003,Test # 1676
