,Player,Opposition,Ground,Match Date,Debut,Time,Mat,Inns,Scorecard
0,DG Bradman (AUS),v South Africa,Brisbane,27 Nov 1931,30 Nov 1928,2y 362d,15,22,Test # 212
1,GA Headley (WI),v England,Lord's,24 Jun 1939,11 Jan 1930,9y 164d,17,32,Test # 272
2,H Sutcliffe (ENG),v West Indies,Manchester,21 Jul 1928,14 Jun 1924,4y 37d,22,33,Test # 174
3,MEK Hussey (AUS),v India,Sydney,2 Jan 2008,3 Nov 2005,2y 60d,20,33,Test # 1857
4,M Labuschagne (AUS),v England,Adelaide,16 Dec 2021,7 Oct 2018,3y 70d,20,34,Test # 2441
5,KD Walters (AUS),v South Africa,Cape Town,22 Jan 1970,10 Dec 1965,4y 43d,22,35,Test # 670
6,BC Lara (WI),v Australia,Bridgetown,31 Mar 1995,6 Dec 1990,4y 115d,22,35,Test # 1294
7,AR Morris (AUS),v England,Adelaide,2 Feb 1951,29 Nov 1946,4y 65d,23,36,Test # 330
8,ED Weekes (WI),v India,Port of Spain,19 Feb 1953,21 Jan 1948,5y 29d,23,36,Test # 367
9,FMM Worrell (WI),v England,Port of Spain,17 Mar 1954,11 Feb 1948,6y 34d,22,36,Test # 385
10,IVA Richards (WI),v England,The Oval,12 Aug 1976,22 Nov 1974,1y 264d,21,36,Test # 781
11,DCS Compton (ENG),v Australia,Nottingham,10 Jun 1948,14 Aug 1937,10y 301d,23,37,Test # 299
12,RN Harvey (AUS),v South Africa,Sydney,9 Jan 1953,23 Jan 1948,4y 352d,22,37,Test # 362
13,RG Pollock (SA),v Australia,Durban,5 Feb 1970,6 Dec 1963,6y 61d,21,37,Test # 671
14,WR Hammond (ENG),v South Africa,Johannesburg,24 Dec 1930,24 Dec 1927,3y 0d,23,39,Test # 200
15,GS Sobers (WI),v India,Chennai,21 Jan 1959,30 Mar 1954,4y 297d,23,39,Test # 465
16,GC Smith (SA),v New Zealand,Wellington,26 Mar 2004,8 Mar 2002,2y 18d,24,39,Test # 1692
17,AI Kallicharran (WI),v Australia,Melbourne,26 Dec 1975,6 Apr 1972,3y 264d,25,40,Test # 766
18,MJ Slater (AUS),v England,Perth,3 Feb 1995,3 Jun 1993,1y 245d,23,40,Test # 1287
19,R Dravid (INDIA),v New Zealand,Hamilton,2 Jan 1999,20 Jun 1996,2y 196d,25,40,Test # 1438
20,V Sehwag (INDIA),v Australia,Chennai,14 Oct 2004,3 Nov 2001,2y 346d,25,40,Test # 1714
21,IJL Trott (ENG),v Pakistan,Dubai (DSC),17 Jan 2012,20 Aug 2009,2y 150d,24,40,Test # 2030
22,JB Hobbs (ENG),v Australia,The Oval,19 Aug 1912,1 Jan 1908,4y 231d,23,41,Test # 129
23,AD Nourse (SA),v England,Cape Town,1 Jan 1949,15 Jun 1935,13y 200d,22,41,Test # 309
24,KF Barrington (ENG),v India,Delhi,13 Dec 1961,9 Jun 1955,6y 187d,25,41,Test # 516
25,AC Gilchrist (AUS),v South Africa,Cape Town,8 Mar 2002,5 Nov 1999,2y 123d,30,41,Test # 1593
26,KP Pietersen (ENG),v Australia,Melbourne,26 Dec 2006,21 Jul 2005,1y 158d,22,41,Test # 1824
27,L Hutton (ENG),v South Africa,Leeds,26 Jul 1947,26 Jun 1937,10y 30d,25,42,Test # 288
28,Javed Miandad (PAK),v India,Wankhede,16 Dec 1979,9 Oct 1976,3y 68d,24,42,Test # 865
29,VS Hazare (INDIA),v West Indies,Port of Spain,21 Jan 1953,22 Jun 1946,6y 213d,26,43,Test # 363
30,CL Walcott (WI),v England,Port of Spain,17 Mar 1954,21 Jan 1948,6y 55d,27,43,Test # 385
31,EJ Barlow (SA),v Australia,Johannesburg,23 Dec 1966,8 Dec 1961,5y 15d,22,43,Test # 611
32,RM Cowper (AUS),v England,Birmingham,11 Jul 1968,2 Jul 1964,4y 9d,26,43,Test # 639
33,G Gambhir (INDIA),v New Zealand,Napier,26 Mar 2009,3 Nov 2004,4y 143d,24,43,Test # 1917
34,JE Root (ENG),v West Indies,St George's,21 Apr 2015,13 Dec 2012,2y 129d,24,43,Test # 2158
35,GS Chappell (AUS),v England,Perth,13 Dec 1974,11 Dec 1970,4y 2d,26,44,Test # 748
36,SM Gavaskar (INDIA),v West Indies,Port of Spain,7 Apr 1976,6 Mar 1971,5y 32d,23,44,Test # 775
37,MA Taylor (AUS),v West Indies,Bridgetown,19 Apr 1991,26 Jan 1989,2y 83d,24,44,Test # 1169
38,AH Jones (NZ),v Zimbabwe,Bulawayo,1 Nov 1992,16 Apr 1987,5y 199d,24,44,Test # 1198
39,SR Tendulkar (INDIA),v New Zealand,Hamilton,19 Mar 1994,15 Nov 1989,4y 124d,32,44,Test # 1255
40,MH Richardson (NZ),v India,Mohali,16 Oct 2003,12 Sep 2000,3y 34d,26,44,Test # 1662
41,WM Woodfull (AUS),v England,Sydney,23 Feb 1933,12 Jun 1926,6y 256d,30,45,Test # 224
42,WJ Edrich (ENG),v New Zealand,The Oval,13 Aug 1949,10 Jun 1938,11y 64d,29,45,Test # 317
43,AL Hassett (AUS),v West Indies,Brisbane,9 Nov 1951,10 Jun 1938,13y 152d,30,45,Test # 340
44,NCL O'Neill (AUS),v England,Sydney,15 Feb 1963,5 Dec 1958,4y 72d,28,45,Test # 539
45,KC Wessels (AUS/SA),v India,Durban,13 Nov 1992,26 Nov 1982,9y 353d,26,45,Test # 1200
46,SC Ganguly (INDIA),v Sri Lanka,Colombo (SSC),24 Feb 1999,20 Jun 1996,2y 249d,27,45,Test # 1445
47,MP Vaughan (ENG),v Australia,Perth,29 Nov 2002,25 Nov 1999,3y 4d,26,45,Test # 1629
48,W Bardsley (AUS),v England,Lord's,11 Jun 1921,27 May 1909,12y 15d,27,46,Test # 141
49,B Sutcliffe (NZ),v India,Chennai,6 Jan 1956,21 Mar 1947,8y 291d,26,46,Test # 420
50,JH Edrich (ENG),v Australia,The Oval,22 Aug 1968,6 Jun 1963,5y 77d,31,46,Test # 641
51,CG Greenidge (WI),v New Zealand,Christchurch,22 Feb 1980,22 Nov 1974,5y 92d,24,46,Test # 875
52,ML Hayden (AUS),v South Africa,Sydney,2 Jan 2002,4 Mar 1994,7y 304d,27,46,Test # 1582
53,KC Sangakkara (SL),v West Indies,Gros Islet,20 Jun 2003,20 Jul 2000,2y 335d,29,46,Test # 1648
54,CA Pujara (INDIA),v Australia,Brisbane,17 Dec 2014,9 Oct 2010,4y 69d,26,46,Test # 2149
55,C Hill (AUS),v England,Adelaide,15 Jan 1904,22 Jun 1896,7y 207d,27,47,Test # 80
56,WH Ponsford (AUS),v England,The Oval,18 Aug 1934,19 Dec 1924,9y 242d,29,47,Test # 237
57,GM Turner (NZ),v Australia,Christchurch,8 Mar 1974,27 Feb 1969,5y 9d,26,47,Test # 735
58,DM Jones (AUS),v England,The Oval,24 Aug 1989,16 Mar 1984,5y 161d,27,47,Test # 1126
59,Shoaib Mohammad (PAK),v New Zealand,Faisalabad,26 Oct 1990,24 Sep 1983,7y 32d,32,47,Test # 1153
60,ST Jayasuriya (SL),v India,Mohali,19 Nov 1997,22 Feb 1991,6y 270d,28,47,Test # 1385
61,AJ Strauss (ENG),v Sri Lanka,Lord's,11 May 2006,20 May 2004,1y 356d,25,47,Test # 1802
62,DM Bravo (WI),v New Zealand,Dunedin,3 Dec 2013,15 Nov 2010,3y 18d,26,47,Test # 2104
63,SPD Smith (AUS),v India,Melbourne,26 Dec 2014,13 Jul 2010,4y 166d,25,47,Test # 2152
64,S Dhawan (INDIA),v Sri Lanka,Delhi,2 Dec 2017,14 Mar 2013,4y 263d,28,47,Test # 2286
65,Mominul Haque (BAN),v Sri Lanka,Chattogram,31 Jan 2018,8 Mar 2013,4y 329d,26,47,Test # 2295
66,PBH May (ENG),v South Africa,The Oval,13 Aug 1955,26 Jul 1951,4y 18d,29,48,Test # 412
67,RB Kanhai (WI),v Australia,Adelaide,27 Jan 1961,30 May 1957,3y 242d,27,48,Test # 504
68,Saeed Ahmed (PAK),v Australia,Karachi,24 Oct 1964,17 Jan 1958,6y 281d,25,48,Test # 569
69,AW Greig (ENG),v Australia,Brisbane,29 Nov 1974,8 Jun 1972,2y 174d,31,48,Test # 746
70,LG Rowe (WI),v New Zealand,Auckland,29 Feb 1980,16 Feb 1972,8y 13d,30,48,Test # 877
71,AR Border (AUS),v India,Melbourne,7 Feb 1981,29 Dec 1978,2y 40d,27,48,Test # 895
72,M Azharuddin (INDIA),v Pakistan,Faisalabad,23 Nov 1989,31 Dec 1984,4y 327d,32,48,Test # 1128
73,Saeed Anwar (PAK),v South Africa,Durban,26 Feb 1998,23 Nov 1990,7y 95d,29,48,Test # 1403
74,Yousuf Youhana (PAK),v New Zealand,Christchurch,15 Mar 2001,26 Feb 1998,3y 17d,29,48,Test # 1536
75,DPMD Jayawardene (SL),v England,Colombo (SSC),15 Mar 2001,2 Aug 1997,3y 225d,30,48,Test # 1537
76,AN Cook (ENG),v New Zealand,Wellington,13 Mar 2008,1 Mar 2006,2y 12d,26,48,Test # 1867
77,LRPL Taylor (NZ),v India,Hyderabad (Deccan),12 Nov 2010,8 Nov 2007,3y 4d,27,48,Test # 1975
78,CJL Rogers (AUS),v England,The Oval,20 Aug 2015,16 Jan 2008,7y 216d,25,48,Test # 2178
79,SJ McCabe (AUS),v England,Sydney,18 Dec 1936,13 Jun 1930,6y 188d,32,49,Test # 256
80,C Washbrook (ENG),v West Indies,Lord's,24 Jun 1950,14 Aug 1937,12y 314d,27,49,Test # 324
81,MC Cowdrey (ENG),v Australia,Adelaide,30 Jan 1959,26 Nov 1954,4y 65d,31,49,Test # 466
82,Hanif Mohammad (PAK),v India,Brabourne,2 Dec 1960,16 Oct 1952,8y 47d,28,49,Test # 497
83,DL Amiss (ENG),v India,Manchester,6 Jun 1974,18 Aug 1966,7y 292d,27,49,Test # 739
84,Sadiq Mohammad (PAK),v West Indies,Georgetown,18 Mar 1977,24 Oct 1969,7y 145d,27,49,Test # 801
