,Player,Runs,Mins,Balls,4s,6s,,Team,Opposition,Ground,Match Date,Scorecard
58,CT Radley,158,648,524,15,0,,England,v New Zealand,Auckland,4 Mar 1978,Test # 820
59,GS Sobers,226,647,-,24,0,,West Indies,v England,Bridgetown,6 Jan 1960,Test # 485
60,TMK Mawoyo,163*,645,453,20,0,,Zimbabwe,v Pakistan,Bulawayo,1 Sep 2011,Test # 2006
61,SM Gavaskar,236*,644,425,23,0,,India,v West Indies,Chennai,24 Dec 1983,Test # 972
62,KC Sangakkara,211,644,431,18,0,,Sri Lanka,v Pakistan,Abu Dhabi,18 Oct 2011,Test # 2009
63,GR Viswanath,222,643,374,31,0,,India,v England,Chennai,13 Jan 1982,Test # 918
64,MA Atherton,185*,643,492,29,0,,England,v South Africa,Johannesburg,30 Nov 1995,Test # 1315
65,G Gambhir,137,643,436,18,0,,India,v New Zealand,Napier,26 Mar 2009,Test # 1917
66,S Wettimuny,190,642,471,21,0,,Sri Lanka,v England,Lord's,23 Aug 1984,Test # 994
67,Shoaib Malik,245,639,420,24,4,,Pakistan,v England,Abu Dhabi,13 Oct 2015,Test # 2180
68,Abid Ali,215*,637,407,29,0,,Pakistan,v Zimbabwe,Harare,7 May 2021,Test # 2421
69,Javed Miandad,211,636,441,29,1,,Pakistan,v Australia,Karachi,15 Sep 1988,Test # 1104
70,AH Jones,170*,636,446,15,2,,New Zealand,v India,Auckland,22 Feb 1990,Test # 1139
71,JE Root,226,636,441,22,1,,England,v New Zealand,Hamilton,29 Nov 2019,Test # 2371
72,N Hussain,146*,635,463,17,0,,England,v South Africa,Durban,26 Dec 1999,Test # 1480
73,AN Cook,244*,634,409,27,0,,England,v Australia,Melbourne,26 Dec 2017,Test # 2289
74,VVS Laxman,281,631,452,44,0,,India,v Australia,Kolkata,11 Mar 2001,Test # 1535
75,CL Hooper,233,630,402,29,3,,West Indies,v India,Georgetown,11 Apr 2002,Test # 1598
76,CH Gayle,317,630,483,37,3,,West Indies,v South Africa,St John's,29 Apr 2005,Test # 1750
77,G Boycott,191,629,471,23,0,,England,v Australia,Leeds,11 Aug 1977,Test # 807
78,R Dravid,217,629,468,28,0,,India,v England,The Oval,5 Sep 2002,Test # 1614
79,GA Gooch,333,628,485,43,3,,England,v India,Lord's,26 Jul 1990,Test # 1148
80,Mudassar Nazar,231,627,444,21,1,,Pakistan,v India,Hyderabad (Sind),14 Jan 1983,Test # 946
81,MS Atapattu,216*,627,437,24,0,,Sri Lanka,v Zimbabwe,Bulawayo,18 Nov 1999,Test # 1470
82,GC Smith,234,627,388,16,0,,South Africa,v Pakistan,Dubai (DSC),23 Oct 2013,Test # 2100
83,AN Cook,235*,625,428,26,0,,England,v Australia,Brisbane,25 Nov 2010,Test # 1981
84,KS Williamson,251,624,412,34,2,,New Zealand,v West Indies,Hamilton,3 Dec 2020,Test # 2394
85,KS Williamson,242*,623,438,18,0,,New Zealand,v Sri Lanka,Wellington,3 Jan 2015,Test # 2155
86,ML Hayden,380,622,437,38,11,,Australia,v Zimbabwe,Perth,9 Oct 2003,Test # 1661
87,MN Samuels,260,618,455,31,3,,West Indies,v Bangladesh,Khulna,21 Nov 2012,Test # 2060
88,Javed Miandad,260,617,521,28,1,,Pakistan,v England,The Oval,6 Aug 1987,Test # 1079
89,GS Sobers,365*,614,-,38,0,,West Indies,v Pakistan,Kingston,26 Feb 1958,Test # 450
90,Younis Khan,200*,614,404,15,3,,Pakistan,v Zimbabwe,Harare,3 Sep 2013,Test # 2095
91,JE Root,254,614,406,27,0,,England,v Pakistan,Manchester,22 Jul 2016,Test # 2208
92,SR Tendulkar,241*,613,436,33,0,,India,v Australia,Sydney,2 Jan 2004,Test # 1680
93,LG Rowe,302,612,430,36,1,,West Indies,v England,Bridgetown,6 Mar 1974,Test # 734
94,MD Crowe,299,610,523,29,3,,New Zealand,v Sri Lanka,Wellington,31 Jan 1991,Test # 1162
95,DPMD Jayawardene,213*,610,411,25,0,,Sri Lanka,v England,Galle,18 Dec 2007,Test # 1854
96,DPMD Jayawardene,275,610,435,27,1,,Sri Lanka,v India,Ahmedabad,16 Nov 2009,Test # 1933
97,JJ Crowe,120*,609,398,13,0,,New Zealand,v Sri Lanka,Colombo (CCC),16 Apr 1987,Test # 1074
98,MJ Clarke,329*,609,468,39,1,,Australia,v India,Sydney,3 Jan 2012,Test # 2027
99,VG Kambli,224,608,411,23,0,,India,v England,Wankhede,19 Feb 1993,Test # 1214
100,AP Gurusinha,128,607,461,14,1,,Sri Lanka,v Zimbabwe,Harare,11 Oct 1994,Test # 1270
101,BA Young,267*,605,422,37,0,,New Zealand,v Sri Lanka,Dunedin,7 Mar 1997,Test # 1358
102,Babar Azam,196,603,425,21,1,,Pakistan,v Australia,Karachi,12 Mar 2022,Test # 2455
103,CA Davis,183,602,-,21,0,,West Indies,v New Zealand,Bridgetown,23 Mar 1972,Test # 695
104,Mohammad Yousuf,223,602,373,26,2,,Pakistan,v England,Lahore,29 Nov 2005,Test # 1774
105,AB de Villiers,278*,601,418,23,6,,South Africa,v Pakistan,Abu Dhabi,20 Nov 2010,Test # 1979
106,A Sandham,325,600,640,28,0,,England,v West Indies,Kingston,3 Apr 1930,Test # 193
107,PBH May,285*,600,-,25,2,,England,v West Indies,Birmingham,30 May 1957,Test # 439
