,Player,Mat,1st,2nd,,Team,Opposition,Ground,Match Date,Scorecard
76,,,130,40,,England,v Australia,Adelaide,29 Jan 1971,Test # 678
77,,,30,57,,England,v Australia,Sydney,12 Feb 1971,Test # 679
78,SR Tendulkar,10,53,-,,India,v Sri Lanka,Brabourne,2 Dec 2009,Test # 1937
79,,,105*,16,,India,v Bangladesh,Chattogram,17 Jan 2010,Test # 1949
80,,,143,DNB,,India,v Bangladesh,Mirpur,24 Jan 2010,Test # 1950
81,,,7,100,,India,v South Africa,Nagpur,6 Feb 2010,Test # 1951
82,,,106,-,,India,v South Africa,Kolkata,14 Feb 2010,Test # 1952
83,,,8,84,,India,v Sri Lanka,Galle,18 Jul 2010,Test # 1964
84,,,203,-,,India,v Sri Lanka,Colombo (SSC),26 Jul 2010,Test # 1966
85,,,41,54,,India,v Sri Lanka,Colombo (PSS),3 Aug 2010,Test # 1968
86,,,98,38,,India,v Australia,Mohali,1 Oct 2010,Test # 1972
87,,,214,53*,,India,v Australia,Bengaluru,9 Oct 2010,Test # 1973
88,ED Weekes,9,141,DNB,,West Indies,v England,Kingston,27 Mar 1948,Test # 298
89,,,128,-,,West Indies,v India,Delhi,10 Nov 1948,Test # 304
90,,,194,-,,West Indies,v India,Brabourne,9 Dec 1948,Test # 305
91,,,162,101,,West Indies,v India,Kolkata,31 Dec 1948,Test # 308
92,,,90,-,,West Indies,v India,Chennai,27 Jan 1949,Test # 310
93,,,56,48,,West Indies,v India,Brabourne,4 Feb 1949,Test # 311
94,,,52,1,,West Indies,v England,Manchester,8 Jun 1950,Test # 323
95,,,63,63,,West Indies,v England,Lord's,24 Jun 1950,Test # 324
96,,,129,DNB,,West Indies,v England,Nottingham,20 Jul 1950,Test # 325
97,AJ Stewart,9,20,66,,England,v India,Lord's,20 Jun 1996,Test # 1328
98,,,50,-,,England,v India,Nottingham,4 Jul 1996,Test # 1329
99,,,39,89,,England,v Pakistan,Lord's,25 Jul 1996,Test # 1330
100,,,170,-,,England,v Pakistan,Leeds,8 Aug 1996,Test # 1331
101,,,44,54,,England,v Pakistan,The Oval,22 Aug 1996,Test # 1332
102,,,48,73,,England,v Zimbabwe,Bulawayo,18 Dec 1996,Test # 1345
103,,,19,101*,,England,v Zimbabwe,Harare,26 Dec 1996,Test # 1348
104,,,173,-,,England,v New Zealand,Auckland,24 Jan 1997,Test # 1351
105,,,52,-,,England,v New Zealand,Wellington,6 Feb 1997,Test # 1354
106,ML Hayden,9,68,-,,Australia,v England,The Oval,23 Aug 2001,Test # 1558
107,,,136,13,,Australia,v New Zealand,Brisbane,8 Nov 2001,Test # 1565
108,,,91,-,,Australia,v New Zealand,Hobart,22 Nov 2001,Test # 1571
109,,,0,57,,Australia,v New Zealand,Perth,30 Nov 2001,Test # 1573
110,,,31,131,,Australia,v South Africa,Adelaide,14 Dec 2001,Test # 1576
111,,,138,3*,,Australia,v South Africa,Melbourne,26 Dec 2001,Test # 1580
112,,,105,21*,,Australia,v South Africa,Sydney,2 Jan 2002,Test # 1582
113,,,122,-,,Australia,v South Africa,Johannesburg,22 Feb 2002,Test # 1590
114,,,63,96,,Australia,v South Africa,Cape Town,8 Mar 2002,Test # 1593
115,JH Kallis,9,54,32,,South Africa,v India,Cape Town,2 Jan 2007,Test # 1827
116,,,18,60*,,South Africa,v Pakistan,Centurion,11 Jan 2007,Test # 1828
117,,,24,91,,South Africa,v Pakistan,Gqeberha,19 Jan 2007,Test # 1829
118,,,28,51,,South Africa,v Pakistan,Cape Town,26 Jan 2007,Test # 1830
119,,,155,100*,,South Africa,v Pakistan,Karachi,1 Oct 2007,Test # 1843
120,,,59,107*,,South Africa,v Pakistan,Lahore,8 Oct 2007,Test # 1844
121,,,29,186,,South Africa,v New Zealand,Johannesburg,8 Nov 2007,Test # 1846
122,,,131,-,,South Africa,v New Zealand,Centurion,16 Nov 2007,Test # 1848
123,,,0,85,,South Africa,v West Indies,Gqeberha,26 Dec 2007,Test # 1856
124,SM Katich,9,50,43,,Australia,v England,The Oval,20 Aug 2009,Test # 1931
125,,,92,-,,Australia,v West Indies,Brisbane,26 Nov 2009,Test # 1936
126,,,80,21,,Australia,v West Indies,Adelaide,4 Dec 2009,Test # 1939
127,,,99,10,,Australia,v West Indies,Perth,16 Dec 2009,Test # 1941
128,,,98,2,,Australia,v Pakistan,Melbourne,26 Dec 2009,Test # 1943
129,,,11,100,,Australia,v Pakistan,Hobart,14 Jan 2010,Test # 1947
130,,,79,18*,,Australia,v New Zealand,Wellington,19 Mar 2010,Test # 1955
131,,,88,106,,Australia,v New Zealand,Hamilton,27 Mar 2010,Test # 1957
132,,,80,83,,Australia,v Pakistan,Lord's,13 Jul 2010,Test # 1963
133,KC Sangakkara,9,52,8,,Sri Lanka,v Pakistan,Sharjah,16 Jan 2014,Test # 2115
134,,,75,-,,Sri Lanka,v Bangladesh,Mirpur,27 Jan 2014,Test # 2116
135,,,319,105,,Sri Lanka,v Bangladesh,Chattogram,4 Feb 2014,Test # 2117
136,,,147,61,,Sri Lanka,v England,Lord's,12 Jun 2014,Test # 2124
137,,,79,55,,Sri Lanka,v England,Leeds,20 Jun 2014,Test # 2126
138,,,24,76,,Sri Lanka,v South Africa,Galle,16 Jul 2014,Test # 2129
139,,,0,72,,Sri Lanka,v South Africa,Colombo (SSC),24 Jul 2014,Test # 2131
140,,,221,21,,Sri Lanka,v Pakistan,Galle,6 Aug 2014,Test # 2133
141,,,22,59,,Sri Lanka,v Pakistan,Colombo (SSC),14 Aug 2014,Test # 2136
142,WR Hammond,8,240,2,,England,v Australia,Lord's,24 Jun 1938,Test # 264
143,,,76,0,,England,v Australia,Leeds,22 Jul 1938,Test # 265
144,,,59,-,,England,v Australia,The Oval,20 Aug 1938,Test # 266
145,,,24,58,,England,v South Africa,Johannesburg,24 Dec 1938,Test # 267
146,,,181,-,,England,v South Africa,Cape Town,31 Dec 1938,Test # 268
147,,,120,-,,England,v South Africa,Durban,20 Jan 1939,Test # 269
148,,,1,61*,,England,v South Africa,Johannesburg,18 Feb 1939,Test # 270
149,,,24,140,,England,v South Africa,Durban,3 Mar 1939,Test # 271
150,PBH May,8,83,-,,England,v South Africa,Nottingham,9 Jun 1955,Test # 407
151,,,0,112,,England,v South Africa,Lord's,23 Jun 1955,Test # 409
152,,,34,117,,England,v South Africa,Manchester,7 Jul 1955,Test # 410
153,,,47,97,,England,v South Africa,Leeds,21 Jul 1955,Test # 411
154,,,3,89*,,England,v South Africa,The Oval,13 Aug 1955,Test # 412
155,,,73,DNB,,England,v Australia,Nottingham,7 Jun 1956,Test # 425
156,,,63,53,,England,v Australia,Lord's,21 Jun 1956,Test # 426
157,,,101,-,,England,v Australia,Leeds,12 Jul 1956,Test # 427
158,CL Walcott,8,124,51*,,West Indies,v England,Port of Spain,17 Mar 1954,Test # 385
159,,,50,116,,West Indies,v England,Kingston,30 Mar 1954,Test # 386
160,,,108,39,,West Indies,v Australia,Kingston,26 Mar 1955,Test # 403
161,,,126,110,,West Indies,v Australia,Port of Spain,11 Apr 1955,Test # 404
162,,,8,73,,West Indies,v Australia,Georgetown,26 Apr 1955,Test # 405
163,,,15,83,,West Indies,v Australia,Bridgetown,14 May 1955,Test # 406
164,,,155,110,,West Indies,v Australia,Kingston,11 Jun 1955,Test # 408
165,,,90,1,,West Indies,v England,Birmingham,30 May 1957,Test # 439
166,GS Sobers,8,161,-,,West Indies,v England,Manchester,2 Jun 1966,Test # 605
167,,,46,163*,,West Indies,v England,Lord's,16 Jun 1966,Test # 606
168,,,3,94,,West Indies,v England,Nottingham,30 Jun 1966,Test # 607
169,,,174,-,,West Indies,v England,Leeds,4 Aug 1966,Test # 608
170,,,81,0,,West Indies,v England,The Oval,18 Aug 1966,Test # 609
171,,,50,53*,,West Indies,v India,Brabourne,13 Dec 1966,Test # 610
172,,,70,-,,West Indies,v India,Kolkata,31 Dec 1966,Test # 612
173,,,95,74*,,West Indies,v India,Chennai,13 Jan 1967,Test # 614
174,KF Barrington,8,93,46,,England,v India,Leeds,8 Jun 1967,Test # 618
175,,,97,-,,England,v India,Lord's,22 Jun 1967,Test # 619
176,,,75,13,,England,v India,Birmingham,13 Jul 1967,Test # 620
177,,,148,14,,England,v Pakistan,Lord's,27 Jul 1967,Test # 621
178,,,109*,DNB,,England,v Pakistan,Nottingham,10 Aug 1967,Test # 622
179,,,142,13*,,England,v Pakistan,The Oval,24 Aug 1967,Test # 623
180,,,143,-,,England,v West Indies,Port of Spain,19 Jan 1968,Test # 627
