,Player,Mat,1st,2nd,,Team,Opposition,Ground,Match Date,Scorecard
336,,,157*,42*,,South Africa,v Zimbabwe,Harare,7 Sep 2001,Test # 1562
337,,,189*,-,,South Africa,v Zimbabwe,Bulawayo,14 Sep 2001,Test # 1563
338,,,68,21*,,South Africa,v India,Bloemfontein,3 Nov 2001,Test # 1564
339,,,24,89*,,South Africa,v India,Gqeberha,16 Nov 2001,Test # 1569
340,,,5,65*,,South Africa,v Australia,Adelaide,14 Dec 2001,Test # 1576
341,,,38,99,,South Africa,v Australia,Melbourne,26 Dec 2001,Test # 1580
342,JL Langer,7,102*,-,,Australia,v England,The Oval,23 Aug 2001,Test # 1558
343,,,104,18*,,Australia,v New Zealand,Brisbane,8 Nov 2001,Test # 1565
344,,,123,-,,Australia,v New Zealand,Hobart,22 Nov 2001,Test # 1571
345,,,75,0,,Australia,v New Zealand,Perth,30 Nov 2001,Test # 1573
346,,,116,1,,Australia,v South Africa,Adelaide,14 Dec 2001,Test # 1576
347,,,85,7,,Australia,v South Africa,Melbourne,26 Dec 2001,Test # 1580
348,,,126,30*,,Australia,v South Africa,Sydney,2 Jan 2002,Test # 1582
349,CL Hooper,7,56,9,,West Indies,v Sri Lanka,Colombo (SSC),29 Nov 2001,Test # 1572
350,,,56,13,,West Indies,v Pakistan,Sharjah,31 Jan 2002,Test # 1587
351,,,84*,1,,West Indies,v Pakistan,Sharjah,7 Feb 2002,Test # 1588
352,,,233,-,,West Indies,v India,Georgetown,11 Apr 2002,Test # 1598
353,,,50,22,,West Indies,v India,Port of Spain,19 Apr 2002,Test # 1599
354,,,115,DNB,,West Indies,v India,Bridgetown,2 May 2002,Test # 1601
355,,,136,-,,West Indies,v India,St John's,10 May 2002,Test # 1602
356,JH Kallis,7,23,73,,South Africa,v Australia,Cape Town,8 Mar 2002,Test # 1593
357,,,16,61*,,South Africa,v Australia,Durban,15 Mar 2002,Test # 1595
358,,,75*,-,,South Africa,v Bangladesh,East London,18 Oct 2002,Test # 1619
359,,,139*,-,,South Africa,v Bangladesh,Potchefstroom,25 Oct 2002,Test # 1621
360,,,75,-,,South Africa,v Sri Lanka,Johannesburg,8 Nov 2002,Test # 1624
361,,,84,6,,South Africa,v Sri Lanka,Centurion,15 Nov 2002,Test # 1626
362,,,105,DNB,,South Africa,v Pakistan,Durban,26 Dec 2002,Test # 1635
363,HH Gibbs,7,183,9,,South Africa,v England,The Oval,4 Sep 2003,Test # 1659
364,,,27,59,,South Africa,v Pakistan,Lahore,17 Oct 2003,Test # 1664
365,,,98,20,,South Africa,v Pakistan,Faisalabad,24 Oct 2003,Test # 1666
366,,,60,6*,,South Africa,v West Indies,Johannesburg,12 Dec 2003,Test # 1674
367,,,142,-,,South Africa,v West Indies,Durban,26 Dec 2003,Test # 1679
368,,,33,142,,South Africa,v West Indies,Cape Town,2 Jan 2004,Test # 1681
369,,,192,8*,,South Africa,v West Indies,Centurion,16 Jan 2004,Test # 1682
370,R Dravid,7,40,71,,India,v England,Nagpur,1 Mar 2006,Test # 1785
371,,,95,42*,,India,v England,Mohali,9 Mar 2006,Test # 1788
372,,,52,9,,India,v England,Wankhede,18 Mar 2006,Test # 1791
373,,,49,62,,India,v West Indies,St John's,2 Jun 2006,Test # 1805
374,,,146,-,,India,v West Indies,Gros Islet,10 Jun 2006,Test # 1806
375,,,22,68*,,India,v West Indies,Basseterre,22 Jun 2006,Test # 1807
376,,,81,68,,India,v West Indies,Kingston,30 Jun 2006,Test # 1808
377,R Dravid,7,136,0,,India,v England,Mohali,19 Dec 2008,Test # 1901
378,,,66,8*,,India,v New Zealand,Hamilton,18 Mar 2009,Test # 1915
379,,,83,62,,India,v New Zealand,Napier,26 Mar 2009,Test # 1917
380,,,35,60,,India,v New Zealand,Wellington,3 Apr 2009,Test # 1918
381,,,177,38,,India,v Sri Lanka,Ahmedabad,16 Nov 2009,Test # 1933
382,,,144,-,,India,v Sri Lanka,Kanpur,24 Nov 2009,Test # 1935
383,,,74,-,,India,v Sri Lanka,Brabourne,2 Dec 2009,Test # 1937
384,Tamim Iqbal,7,31,52,,Bangladesh,v India,Chattogram,17 Jan 2010,Test # 1949
385,,,0,151,,Bangladesh,v India,Mirpur,24 Jan 2010,Test # 1950
386,,,68,30,,Bangladesh,v New Zealand,Hamilton,15 Feb 2010,Test # 1953
387,,,86,14,,Bangladesh,v England,Chattogram,12 Mar 2010,Test # 1954
388,,,85,52,,Bangladesh,v England,Mirpur,20 Mar 2010,Test # 1956
389,,,55,103,,Bangladesh,v England,Lord's,27 May 2010,Test # 1958
390,,,108,2,,Bangladesh,v England,Manchester,4 Jun 2010,Test # 1959
391,Misbah-ul-Haq,7,9,76*,,Pakistan,v South Africa,Dubai (DSC),12 Nov 2010,Test # 1976
392,,,77,58*,,Pakistan,v South Africa,Abu Dhabi,20 Nov 2010,Test # 1979
393,,,62,DNB,,Pakistan,v New Zealand,Hamilton,7 Jan 2011,Test # 1990
394,,,99,70*,,Pakistan,v New Zealand,Wellington,15 Jan 2011,Test # 1991
395,,,2,52,,Pakistan,v West Indies,Providence,12 May 2011,Test # 1992
396,,,25,102*,,Pakistan,v West Indies,Basseterre,20 May 2011,Test # 1993
397,,,66,6*,,Pakistan,v Zimbabwe,Bulawayo,1 Sep 2011,Test # 2006
398,HM Amla,7,11,196,,South Africa,v Australia,Perth,30 Nov 2012,Test # 2064
399,,,66,-,,South Africa,v New Zealand,Cape Town,2 Jan 2013,Test # 2069
400,,,110,-,,South Africa,v New Zealand,Gqeberha,11 Jan 2013,Test # 2071
401,,,37,74*,,South Africa,v Pakistan,Johannesburg,1 Feb 2013,Test # 2072
402,,,25,58,,South Africa,v Pakistan,Cape Town,14 Feb 2013,Test # 2073
403,,,92,-,,South Africa,v Pakistan,Centurion,22 Feb 2013,Test # 2075
404,,,118,10,,South Africa,v Pakistan,Abu Dhabi,14 Oct 2013,Test # 2098
405,LRPL Taylor,7,66,0,,New Zealand,v England,Lord's,16 May 2013,Test # 2088
406,,,6,70,,New Zealand,v England,Leeds,24 May 2013,Test # 2089
407,,,28,54*,,New Zealand,v Bangladesh,Chattogram,9 Oct 2013,Test # 2097
408,,,53,-,,New Zealand,v Bangladesh,Mirpur,21 Oct 2013,Test # 2099
409,,,217*,16*,,New Zealand,v West Indies,Dunedin,3 Dec 2013,Test # 2104
410,,,129,-,,New Zealand,v West Indies,Wellington,11 Dec 2013,Test # 2106
411,,,131,2*,,New Zealand,v West Indies,Hamilton,19 Dec 2013,Test # 2109
412,Misbah-ul-Haq,7,53,52,,Pakistan,v Zimbabwe,Harare,3 Sep 2013,Test # 2095
413,,,33,79*,,Pakistan,v Zimbabwe,Harare,10 Sep 2013,Test # 2096
414,,,100,28*,,Pakistan,v South Africa,Abu Dhabi,14 Oct 2013,Test # 2098
415,,,2,88,,Pakistan,v South Africa,Dubai (DSC),23 Oct 2013,Test # 2100
416,,,135,DNB,,Pakistan,v Sri Lanka,Abu Dhabi,31 Dec 2013,Test # 2112
417,,,1,97,,Pakistan,v Sri Lanka,Dubai (DSC),8 Jan 2014,Test # 2114
418,,,63,68*,,Pakistan,v Sri Lanka,Sharjah,16 Jan 2014,Test # 2115
419,SPD Smith,7,84,36*,,Australia,v South Africa,Cape Town,1 Mar 2014,Test # 2122
420,,,22,55,,Australia,v Pakistan,Dubai (DSC),22 Oct 2014,Test # 2140
421,,,0,97,,Australia,v Pakistan,Abu Dhabi,30 Oct 2014,Test # 2142
422,,,162*,52*,,Australia,v India,Adelaide,9 Dec 2014,Test # 2148
423,,,133,28,,Australia,v India,Brisbane,17 Dec 2014,Test # 2149
424,,,192,14,,Australia,v India,Melbourne,26 Dec 2014,Test # 2152
425,,,117,71,,Australia,v India,Sydney,6 Jan 2015,Test # 2156
426,JE Root,7,154*,-,,England,v India,Nottingham,9 Jul 2014,Test # 2128
427,,,13,66,,England,v India,Lord's,17 Jul 2014,Test # 2130
428,,,3,56,,England,v India,Southampton,27 Jul 2014,Test # 2132
429,,,77,-,,England,v India,Manchester,7 Aug 2014,Test # 2134
430,,,149*,-,,England,v India,The Oval,15 Aug 2014,Test # 2137
431,,,83,59,,England,v West Indies,North Sound,13 Apr 2015,Test # 2157
432,,,182*,DNB,,England,v West Indies,St George's,21 Apr 2015,Test # 2158
433,CJL Rogers,7,55,55,,Australia,v India,Brisbane,17 Dec 2014,Test # 2149
434,,,57,69,,Australia,v India,Melbourne,26 Dec 2014,Test # 2152
435,,,95,56,,Australia,v India,Sydney,6 Jan 2015,Test # 2156
436,,,95,10,,Australia,v England,Cardiff,8 Jul 2015,Test # 2170
437,,,173,49*,,Australia,v England,Lord's,16 Jul 2015,Test # 2171
438,,,52,6,,Australia,v England,Birmingham,29 Jul 2015,Test # 2173
439,,,0,52,,Australia,v England,Nottingham,6 Aug 2015,Test # 2175
440,M Vijay,7,53,99,,India,v Australia,Adelaide,9 Dec 2014,Test # 2148
441,,,144,27,,India,v Australia,Brisbane,17 Dec 2014,Test # 2149
442,,,68,11,,India,v Australia,Melbourne,26 Dec 2014,Test # 2152
443,,,0,80,,India,v Australia,Sydney,6 Jan 2015,Test # 2156
444,,,150,-,,India,v Bangladesh,Fatullah,10 Jun 2015,Test # 2165
445,,,0,82,,India,v Sri Lanka,Colombo (PSS),20 Aug 2015,Test # 2177
446,,,75,47,,India,v South Africa,Mohali,5 Nov 2015,Test # 2186
447,Misbah-ul-Haq,7,6,59*,,Pakistan,v Sri Lanka,Pallekele,3 Jul 2015,Test # 2169
448,,,3,51,,Pakistan,v England,Abu Dhabi,13 Oct 2015,Test # 2180
449,,,102,87,,Pakistan,v England,Dubai (DSC),22 Oct 2015,Test # 2183
450,,,71,38,,Pakistan,v England,Sharjah,1 Nov 2015,Test # 2184
451,,,114,0,,Pakistan,v England,Lord's,14 Jul 2016,Test # 2206
452,,,52,35,,Pakistan,v England,Manchester,22 Jul 2016,Test # 2208
453,,,56,10,,Pakistan,v England,Birmingham,3 Aug 2016,Test # 2212
454,KL Rahul,7,64,10,,India,v Australia,Pune,23 Feb 2017,Test # 2250
455,,,90,51,,India,v Australia,Bengaluru,4 Mar 2017,Test # 2251
456,,,67,-,,India,v Australia,Ranchi,16 Mar 2017,Test # 2256
457,,,60,51*,,India,v Australia,Dharamsala,25 Mar 2017,Test # 2258
458,,,57,-,,India,v Sri Lanka,Colombo (SSC),3 Aug 2017,Test # 2267
459,,,85,-,,India,v Sri Lanka,Pallekele,12 Aug 2017,Test # 2269
460,,,0,79,,India,v Sri Lanka,Kolkata,16 Nov 2017,Test # 2281
461,HM Nicholls,7,28,55,,New Zealand,v Pakistan,Abu Dhabi,16 Nov 2018,Test # 2327
462,,,0,77,,New Zealand,v Pakistan,Dubai (DSC),24 Nov 2018,Test # 2330
463,,,1,126*,,New Zealand,v Pakistan,Abu Dhabi,3 Dec 2018,Test # 2332
464,,,50,-,,New Zealand,v Sri Lanka,Wellington,15 Dec 2018,Test # 2335
465,,,1,162*,,New Zealand,v Sri Lanka,Christchurch,26 Dec 2018,Test # 2336
466,,,53,-,,New Zealand,v Bangladesh,Hamilton,28 Feb 2019,Test # 2349
467,,,107,-,,New Zealand,v Bangladesh,Wellington,8 Mar 2019,Test # 2350
