,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
65,KC Sangakkara (SL),2000-2007,12,22,3,1126,222*,59.26,1897,59.35,3,3,0,158,0
66,Mohammad Yousuf (PAK),1998-2007,11,14,2,1125,223,93.75,2014,55.85,5,3,1,135,8
67,MD Crowe (NZ),1982-1993,10,17,1,1123,299,70.18,2558,43.90,5,1,1,133,4
68,SM Gavaskar (INDIA),1975-1986,11,20,0,1122,205,56.10,1748+,51.20*,5,3,0,132+,3
69,Javed Miandad (PAK),1976-1993,17,23,3,1122,163,56.10,2039+,42.42*,3,3,0,103+,8
70,BC Lara (WI),1994-2006,12,20,1,1112,213,58.52,1706,65.18,3,6,3,141,11
71,Azhar Ali (PAK),2010-2018,11,20,2,1110,302*,61.66,2694,41.20,3,6,0,93,6
72,HP Tillakaratne (SL),1992-2004,16,24,9,1106,204*,73.73,2409,45.91,3,4,1,131,0
73,LRPL Taylor (NZ),2008-2020,13,24,4,1104,138,55.20,1924,57.38,6,2,1,144,8
74,ML Hayden (AUS),1996-2008,10,19,3,1103,153,68.93,1783,61.86,6,3,1,122,8
75,GA Gooch (ENG),1978-1994,12,22,1,1097,196,52.23,2302,47.65,1,9,3,132,2
76,Zaheer Abbas (PAK),1975-1984,10,15,4,1093,235*,99.36,1203+,61.76*,4,2,0,67+,8
77,Azhar Ali (PAK),2010-2018,11,22,3,1086,134,57.15,2626,41.35,3,8,2,79,0
78,SR Waugh (AUS),1986-2004,17,25,1,1084,103,45.16,2253,48.11,3,7,3,123,1
79,MA Atherton (ENG),1989-2001,11,19,1,1083,160,60.16,2782,38.92,5,3,2,138,1
80,ED Weekes (WI),1948-1958,7,13,2,1074,207,97.63,-,-,4,4,0,20+,2
81,Javed Miandad (PAK),1978-1992,15,23,4,1068,203*,56.21,1543+,44.65*,5,2,0,77+,9
82,JG Wright (NZ),1978-1993,15,29,2,1060,130,39.25,3213+,31.68*,3,5,1,135+,3
83,SR Waugh (AUS),1986-2003,15,26,2,1056,170,44.00,2139,49.36,3,4,1,112,1
84,JL Langer (AUS),1993-2006,11,20,1,1051,215,55.31,2147,48.95,3,4,0,106,6
85,G Kirsten (SA),1994-2003,11,18,2,1048,275,65.50,2465,42.51,3,4,1,126,0
86,Tamim Iqbal (BAN),2008-2022,16,30,0,1038,133,34.60,2183,47.54,2,7,4,126,4
87,CH Lloyd (WI),1968-1983,16,28,2,1035,143,39.80,314+,46.81*,2,7,1,77+,10
88,TM Dilshan (SL),2001-2013,13,23,2,1034,126,49.23,1394,74.17,4,6,3,125,5
89,MJ Clarke (AUS),2004-2013,10,13,3,1030,259*,103.00,1737,59.29,5,2,0,109,5
90,Younis Khan (PAK),2010-2015,9,16,2,1024,131*,73.14,2009,50.97,5,4,0,81,14
91,WM Lawry (AUS),1962-1971,8,13,0,1023,205,78.69,2335,43.81,4,5,0,82,1
92,BB McCullum (NZ),2004-2016,17,28,0,1021,302,36.46,1836,55.61,2,4,5,115,12
93,SM Gavaskar (INDIA),1973-1987,12,21,4,1018,236*,59.88,1522+,47.17*,3,3,0,83+,5
94,IVA Richards (WI),1976-1991,14,21,0,1015,177,48.33,802+,69.07*,3,4,1,79+,7
95,GS Chappell (AUS),1974-1983,7,11,2,1006,201,111.77,1852,54.31,5,4,0,98,4
96,JG Wright (NZ),1978-1993,13,23,2,1005,138,47.85,2985,33.66,3,4,1,114,1
