,Player,Opposition,Ground,Match Date,Debut,Time,Mat,Inns,Scorecard
0,KC Sangakkara (SL),v New Zealand,Wellington,3 Jan 2015,20 Jul 2000,14y 167d,130,224,Test # 2155
1,SR Tendulkar (INDIA),v Australia,Mohali,17 Oct 2008,15 Nov 1989,18y 337d,152,247,Test # 1889
2,RT Ponting (AUS),v Pakistan,Leeds,21 Jul 2010,8 Dec 1995,14y 225d,146,247,Test # 1965
3,JH Kallis (ICC/SA),v Australia,Johannesburg,17 Nov 2011,14 Dec 1995,15y 338d,147,249,Test # 2018
4,R Dravid (ICC/INDIA),v South Africa,Centurion,16 Dec 2010,20 Jun 1996,14y 179d,148,255,Test # 1985
5,AN Cook (ENG),v Australia,Sydney,4 Jan 2018,1 Mar 2006,11y 309d,152,275,Test # 2291
