,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
69,DBL Powell (WI),2002-2009,37,57,5,407,36*,7.82,1141,35.67,0,0,15,50,4
70,PCR Tufnell (ENG),1990-2001,42,59,29,153,22*,5.10,690,22.17,0,0,15,13,0
71,Umar Gul (PAK),2003-2013,47,67,9,577,65*,9.94,1204,47.92,0,1,15,63,20
72,MA Holding (WI),1975-1987,60,76,10,910,73,13.78,1185+,58.98*,0,6,15,78+,36
73,EAS Prasanna (INDIA),1962-1978,49,84,20,735,37,11.48,810+,38.76*,0,0,15,65+,0
74,GD McKenzie (AUS),1961-1971,60,89,12,945,76,12.27,964+,34.02*,0,2,15,64+,16
75,MD Marshall (WI),1978-1991,81,107,11,1810,92,18.85,3163+,52.73*,0,10,15,189+,18
76,HH Streak (ZIM),1993-2005,65,107,18,1990,127*,22.35,5369,37.06,1,11,15,212,12
77,LR Gibbs (WI),1958-1976,79,109,39,488,25,6.97,582+,28.17*,0,0,15,24+,0
78,MM Ali (ENG),2014-2021,64,111,8,2914,155*,28.29,5697,51.14,5,14,15,355,30
79,TG Southee (NZ),2008-2022,88,126,11,1855,77*,16.13,2240,82.81,0,5,15,187,76
80,KC Brathwaite (WI),2011-2022,79,152,10,4893,212,34.45,12195,40.12,10,27,15,484,11
81,AJ Strauss (ENG),2004-2012,100,178,6,7037,177,40.91,14385,48.91,21,27,15,867,10
82,CH Gayle (WI),2000-2014,103,182,11,7214,333,42.18,11970,60.26,15,37,15,1046,98
83,DB Vengsarkar (INDIA),1976-1992,116,185,22,6868,166,42.13,10810+,41.56*,17,35,15,509+,17
84,ST Jayasuriya (SL),1991-2007,110,188,14,6973,340,40.07,10698,65.18,14,31,15,910,59
85,Inzamam-ul-Haq (ICC/PAK),1992-2007,120,200,22,8830,329,49.60,16345,54.02,25,46,15,1105,48
86,DPMD Jayawardene (SL),1997-2014,149,252,15,11814,374,49.84,22959,51.45,34,50,15,1387,61
87,S Chanderpaul (WI),1994-2015,164,280,49,11867,203*,51.37,27395,43.31,30,66,15,1285,36
