,Runs,Player,Match,Venue,Year
0,103*,VT Trumper (104),Aus v Eng,Manchester,1902
1,112*,CG Macartney (151),Aus v Eng,Leeds,1926
2,105*,DG Bradman (334),Aus v Eng,Leeds,1930
3,108*,Majid Khan (112),Pak v NZ,Karachi,1976-77
4,100*,DA Warner (113),Aus v Pak,Sydney,2016-17
5,104*,S Dhawan (107),Ind v Afg,Bengaluru,2018
