,Player,Runs,Mins,Balls,4s,6s,,Team,Opposition,Ground,Match Date,Scorecard
58,Mohammad Rafique,65,57,53,2,6,,Bangladesh,v Australia,Chattogram,16 Apr 2006,Test # 1799
59,MS Dhoni,69,51,52,4,6,,India,v West Indies,St John's,2 Jun 2006,Test # 1805
60,MS Dhoni,100*,154,154,3,6,,India,v Sri Lanka,Brabourne,2 Dec 2009,Test # 1937
61,CH Gayle,102,102,72,9,6,,West Indies,v Australia,Perth,16 Dec 2009,Test # 1941
62,AB de Villiers,135*,-,168,13,6,,South Africa,v West Indies,Basseterre,18 Jun 2010,Test # 1961
63,AB de Villiers,278*,601,418,23,6,,South Africa,v Pakistan,Abu Dhabi,20 Nov 2010,Test # 1979
64,KP Pietersen,151,212,165,16,6,,England,v Sri Lanka,Colombo (PSS),3 Apr 2012,Test # 2039
65,MS Dhoni,224,365,265,24,6,,India,v Australia,Chennai,22 Feb 2013,Test # 2074
66,CH Gayle,80*,52,46,7,6,,West Indies,v New Zealand,Port of Spain,16 Jun 2014,Test # 2125
67,Asad Shafiq,137,183,148,18,6,,Pakistan,v New Zealand,Sharjah,26 Nov 2014,Test # 2147
68,BB McCullum,145,124,79,21,6,,New Zealand,v Australia,Christchurch,20 Feb 2016,Test # 2202
69,SM Curran,64,-,119,1,6,,England,v Sri Lanka,Pallekele,14 Nov 2018,Test # 2326
70,MA Agarwal,215,-,371,23,6,,India,v South Africa,Visakhapatnam,2 Oct 2019,Test # 2363
71,RG Sharma,176,-,244,23,6,,India,v South Africa,Visakhapatnam,2 Oct 2019,Test # 2363
72,RG Sharma,212,-,255,28,6,,India,v South Africa,Ranchi,19 Oct 2019,Test # 2365
73,Najmul Hossain Shanto,117*,140,118,5,6,,Bangladesh,v Zimbabwe,Harare,7 Jul 2021,Test # 2427
74,BA Stokes,120,190,128,11,6,,England,v West Indies,Bridgetown,16 Mar 2022,Test # 2457
