,Player,Runs,Mins,Balls,4s,6s,,Team,Opposition,Ground,Match Date,Scorecard
60,BA Young,267*,605,422,37,0,,New Zealand,v Sri Lanka,Dunedin,7 Mar 1997,Test # 1358
61,PA de Silva,267,509,380,40,0,,Sri Lanka,v New Zealand,Wellington,31 Jan 1991,Test # 1162
62,Younis Khan,267,690,504,32,1,,Pakistan,v India,Bengaluru,24 Mar 2005,Test # 1743
63,Z Crawley,267,541,393,34,1,,England,v Pakistan,Southampton,21 Aug 2020,Test # 2393
64,WH Ponsford,266,460,422,27,0,,Australia,v England,The Oval,18 Aug 1934,Test # 237
65,DL Houghton,266,675,541,30,3,,Zimbabwe,v Sri Lanka,Bulawayo,20 Oct 1994,Test # 1271
66,TWM Latham,264*,694,489,21,1,,New Zealand,v Sri Lanka,Wellington,15 Dec 2018,Test # 2335
67,AN Cook,263,836,528,18,0,,England,v Pakistan,Abu Dhabi,13 Oct 2015,Test # 2180
68,DL Amiss,262*,570,563,40,1,,England,v West Indies,Kingston,16 Feb 1974,Test # 732
69,SP Fleming,262,576,423,31,2,,New Zealand,v South Africa,Cape Town,27 Apr 2006,Test # 1800
70,RR Sarwan,261*,573,402,32,0,,West Indies,v Bangladesh,Kingston,4 Jun 2004,Test # 1703
71,FMM Worrell,261,335,-,35,2,,West Indies,v England,Nottingham,20 Jul 1950,Test # 325
72,CC Hunte,260,-,-,28,1,,West Indies,v Pakistan,Kingston,26 Feb 1958,Test # 450
73,Javed Miandad,260,617,521,28,1,,Pakistan,v England,The Oval,6 Aug 1987,Test # 1079
74,MN Samuels,260,618,455,31,3,,West Indies,v Bangladesh,Khulna,21 Nov 2012,Test # 2060
75,MJ Clarke,259*,582,398,26,0,,Australia,v South Africa,Brisbane,9 Nov 2012,Test # 2056
76,GM Turner,259,704,759,22,0,,New Zealand,v West Indies,Georgetown,6 Apr 1972,Test # 696
77,GC Smith,259,574,370,34,0,,South Africa,v England,Lord's,31 Jul 2003,Test # 1653
78,TW Graveney,258,471,-,30,0,,England,v West Indies,Nottingham,4 Jul 1957,Test # 441
79,SM Nurse,258,476,-,34,1,,West Indies,v New Zealand,Christchurch,13 Mar 1969,Test # 652
80,BA Stokes,258,338,198,30,11,,England,v South Africa,Cape Town,2 Jan 2016,Test # 2197
81,Wasim Akram,257*,490,363,22,12,,Pakistan,v Zimbabwe,Sheikhupura,17 Oct 1996,Test # 1336
82,RT Ponting,257,590,458,25,0,,Australia,v India,Melbourne,26 Dec 2003,Test # 1678
83,RB Kanhai,256,400,-,42,0,,West Indies,v India,Kolkata,31 Dec 1958,Test # 463
84,KF Barrington,256,683,624,26,0,,England,v Australia,Manchester,23 Jul 1964,Test # 564
85,DJ McGlew,255*,534,-,19,0,,South Africa,v New Zealand,Wellington,6 Mar 1953,Test # 368
86,V Kohli,254*,-,336,33,2,,India,v South Africa,Pune,10 Oct 2019,Test # 2364
87,DG Bradman,254,341,376,25,0,,Australia,v England,Lord's,27 Jun 1930,Test # 195
88,V Sehwag,254,328,247,47,1,,India,v Pakistan,Lahore,13 Jan 2006,Test # 1781
89,JE Root,254,614,406,27,0,,England,v Pakistan,Manchester,22 Jul 2016,Test # 2208
90,HM Amla,253*,675,473,22,0,,South Africa,v India,Nagpur,6 Feb 2010,Test # 1951
91,ST Jayasuriya,253,490,348,33,4,,Sri Lanka,v Pakistan,Faisalabad,20 Oct 2004,Test # 1716
92,DA Warner,253,409,286,24,2,,Australia,v New Zealand,Perth,13 Nov 2015,Test # 2187
93,TWM Latham,252,552,373,34,2,,New Zealand,v Bangladesh,Christchurch,9 Jan 2022,Test # 2447
94,WR Hammond,251,461,605,30,0,,England,v Australia,Sydney,14 Dec 1928,Test # 177
95,KS Williamson,251,624,412,34,2,,New Zealand,v West Indies,Hamilton,3 Dec 2020,Test # 2394
96,KD Walters,250,394,342,30,2,,Australia,v New Zealand,Christchurch,18 Feb 1977,Test # 796
97,SFAF Bacchus,250,510,-,33,0,,West Indies,v India,Kanpur,2 Feb 1979,Test # 845
98,JL Langer,250,578,407,30,1,,Australia,v England,Melbourne,26 Dec 2002,Test # 1634
