,Player,Opposition,Ground,Match Date,Debut,Time,Mat,Inns,Scorecard
0,DG Bradman (AUS),v England,Melbourne,1 Jan 1937,30 Nov 1928,8y 32d,31,48,Test # 257
1,H Sutcliffe (ENG),v Australia,Brisbane,10 Feb 1933,14 Jun 1924,8y 241d,43,68,Test # 223
2,ED Weekes (WI),v England,Leeds,25 Jul 1957,21 Jan 1948,9y 185d,42,71,Test # 442
3,IVA Richards (WI),v Australia,Sydney,2 Jan 1982,22 Nov 1974,7y 41d,46,71,Test # 917
4,JB Hobbs (ENG),v Australia,Lord's,26 Jun 1926,1 Jan 1908,18y 176d,45,75,Test # 164
5,WR Hammond (ENG),v West Indies,Bridgetown,8 Jan 1935,24 Dec 1927,7y 15d,47,76,Test # 238
6,BC Lara (WI),v Sri Lanka,Kingstown,20 Jun 1997,6 Dec 1990,6y 196d,45,76,Test # 1371
7,L Hutton (ENG),v West Indies,The Oval,12 Aug 1950,26 Jun 1937,13y 47d,44,77,Test # 326
8,GS Sobers (WI),v England,Leeds,25 Jul 1963,30 Mar 1954,9y 117d,46,77,Test # 546
9,ML Hayden (AUS),v Zimbabwe,Sydney,17 Oct 2003,4 Mar 1994,9y 227d,46,77,Test # 1663
10,V Sehwag (ICC/INDIA),v West Indies,Basseterre,22 Jun 2006,3 Nov 2001,4y 231d,48,79,Test # 1807
11,RN Harvey (AUS),v India,Chennai,19 Oct 1956,23 Jan 1948,8y 270d,46,80,Test # 431
12,SPD Smith (AUS),v Sri Lanka,Colombo (SSC),13 Aug 2016,13 Jul 2010,6y 31d,44,80,Test # 2217
13,SM Gavaskar (INDIA),v West Indies,Kolkata,29 Dec 1978,6 Mar 1971,7y 298d,43,81,Test # 839
14,KF Barrington (ENG),v Australia,The Oval,13 Aug 1964,9 Jun 1955,9y 65d,51,82,Test # 565
15,KP Pietersen (ENG),v India,Mohali,19 Dec 2008,21 Jul 2005,3y 151d,45,83,Test # 1901
16,Javed Miandad (PAK),v India,Bengaluru,14 Sep 1983,9 Oct 1976,6y 340d,53,84,Test # 961
17,R Dravid (INDIA),v Sri Lanka,Colombo (SSC),29 Aug 2001,20 Jun 1996,5y 70d,48,84,Test # 1559
18,DA Warner (AUS),v New Zealand,Perth,13 Nov 2015,1 Dec 2011,3y 347d,45,84,Test # 2187
19,JE Root (ENG),v Pakistan,The Oval,11 Aug 2016,13 Dec 2012,3y 242d,46,84,Test # 2216
20,CA Pujara (INDIA),v Sri Lanka,Colombo (SSC),3 Aug 2017,9 Oct 2010,6y 298d,50,84,Test # 2267
21,RB Kanhai (WI),v India,Kolkata,31 Dec 1966,30 May 1957,9y 215d,50,86,Test # 612
22,SR Tendulkar (INDIA),v Sri Lanka,Wankhede,3 Dec 1997,15 Nov 1989,8y 18d,58,86,Test # 1390
23,GS Chappell (AUS),v England,Nottingham,28 Jul 1977,11 Dec 1970,6y 229d,49,87,Test # 806
24,Younis Khan (PAK),v West Indies,Multan,19 Nov 2006,26 Feb 2000,6y 266d,49,87,Test # 1816
25,M Azharuddin (INDIA),v New Zealand,Hamilton,19 Mar 1994,31 Dec 1984,9y 78d,62,88,Test # 1255
26,PBH May (ENG),v New Zealand,Auckland,14 Mar 1959,26 Jul 1951,7y 231d,56,89,Test # 472
27,ER Dexter (ENG),v South Africa,Johannesburg,23 Dec 1964,24 Jul 1958,6y 152d,55,89,Test # 572
28,KD Walters (AUS),v England,Adelaide,25 Jan 1975,10 Dec 1965,9y 46d,52,89,Test # 754
29,MA Taylor (AUS),v South Africa,Melbourne,26 Dec 1993,26 Jan 1989,4y 334d,50,89,Test # 1242
30,GC Smith (ICC/SA),v India,Cape Town,2 Jan 2007,8 Mar 2002,4y 300d,51,89,Test # 1827
31,KS Williamson (NZ),v Australia,Christchurch,20 Feb 2016,4 Nov 2010,5y 108d,48,89,Test # 2202
32,V Kohli (INDIA),v England,Wankhede,8 Dec 2016,20 Jun 2011,5y 171d,52,89,Test # 2239
33,RB Simpson (AUS),v India,Melbourne,30 Dec 1967,23 Dec 1957,10y 7d,51,90,Test # 625
34,WM Lawry (AUS),v West Indies,Melbourne,26 Dec 1968,8 Jun 1961,7y 201d,50,90,Test # 643
35,AI Kallicharran (WI),v Australia,Adelaide,26 Jan 1980,6 Apr 1972,7y 295d,54,91,Test # 870
36,CG Greenidge (WI),v England,Lord's,28 Jun 1984,22 Nov 1974,9y 219d,54,91,Test # 990
37,Saeed Anwar (PAK),v Bangladesh,Multan,29 Aug 2001,23 Nov 1990,10y 279d,55,91,Test # 1560
38,HH Gibbs (SA),v West Indies,Cape Town,2 Jan 2004,27 Nov 1996,7y 36d,55,91,Test # 1681
39,DPMD Jayawardene (SL),v Australia,Colombo (SSC),24 Mar 2004,2 Aug 1997,6y 235d,57,91,Test # 1691
40,DR Martyn (AUS),v England,Lord's,21 Jul 2005,27 Nov 1992,12y 236d,57,91,Test # 1756
