,Player,Opposition,Ground,Match Date,Debut,Time,Mat,Inns,Scorecard
0,DG Bradman (AUS),v India,Melbourne,1 Jan 1948,30 Nov 1928,19y 32d,45,68,Test # 292
1,GS Sobers (WI),v England,Georgetown,28 Mar 1968,30 Mar 1954,13y 364d,65,111,Test # 636
2,SPD Smith (AUS),v England,Sydney,4 Jan 2018,13 Jul 2010,7y 175d,61,111,Test # 2291
3,WR Hammond (ENG),v South Africa,Johannesburg,24 Dec 1938,24 Dec 1927,11y 0d,70,114,Test # 267
4,L Hutton (ENG),v West Indies,Kingston,15 Jan 1954,26 Jun 1937,16y 203d,66,116,Test # 380
5,KF Barrington (ENG),v Pakistan,Lord's,27 Jul 1967,9 Jun 1955,12y 48d,72,116,Test # 621
6,KC Sangakkara (SL),v England,Galle,18 Dec 2007,20 Jul 2000,7y 151d,71,116,Test # 1854
7,SM Gavaskar (INDIA),v Australia,Adelaide,23 Jan 1981,6 Mar 1971,9y 323d,65,117,Test # 894
8,V Kohli (INDIA),v England,Southampton,30 Aug 2018,20 Jun 2011,7y 71d,70,119,Test # 2317
9,IVA Richards (WI),v England,Port of Spain,3 Apr 1986,22 Nov 1974,11y 132d,81,120,Test # 1044
10,SR Tendulkar (INDIA),v South Africa,Bengaluru,2 Mar 2000,15 Nov 1989,10y 108d,76,120,Test # 1486
11,Mohammad Yousuf (PAK),v West Indies,Multan,19 Nov 2006,26 Feb 1998,8y 266d,72,120,Test # 1816
12,V Sehwag (ICC/INDIA),v Sri Lanka,Brabourne,2 Dec 2009,3 Nov 2001,8y 29d,72,123,Test # 1937
13,R Dravid (INDIA),v Australia,Adelaide,12 Dec 2003,20 Jun 1996,7y 175d,73,125,Test # 1673
14,RT Ponting (AUS),v Sri Lanka,Colombo (SSC),24 Mar 2004,8 Dec 1995,8y 107d,78,125,Test # 1691
15,BC Lara (WI),v Australia,Adelaide,15 Dec 2000,6 Dec 1990,10y 9d,73,126,Test # 1523
16,ML Hayden (AUS),v England,The Oval,8 Sep 2005,4 Mar 1994,11y 188d,72,126,Test # 1763
17,Younis Khan (PAK),v Bangladesh,Chattogram,9 Dec 2011,26 Feb 2000,11y 286d,72,126,Test # 2022
18,KS Williamson (NZ),v Bangladesh,Hamilton,28 Feb 2019,4 Nov 2010,8y 116d,71,126,Test # 2349
19,JE Root (ENG),v India,Birmingham,1 Aug 2018,13 Dec 2012,5y 231d,70,127,Test # 2314
20,GC Smith (ICC/SA),v Australia,Perth,17 Dec 2008,8 Mar 2002,6y 284d,73,128,Test # 1899
21,KP Pietersen (ENG),v India,Lord's,21 Jul 2011,21 Jul 2005,6y 0d,75,128,Test # 2000
22,HM Amla (SA),v Australia,Centurion,12 Feb 2014,28 Nov 2004,9y 76d,74,128,Test # 2119
23,GS Chappell (AUS),v West Indies,Adelaide,30 Jan 1982,11 Dec 1970,11y 50d,73,129,Test # 919
24,DA Warner (AUS),v England,Melbourne,26 Dec 2017,1 Dec 2011,6y 25d,70,129,Test # 2289
25,RB Kanhai (WI),v England,Lord's,23 Aug 1973,30 May 1957,16y 85d,74,130,Test # 727
26,AN Cook (ENG),v Pakistan,Dubai (DSC),3 Feb 2012,1 Mar 2006,5y 339d,75,131,Test # 2034
27,MEK Hussey (AUS),v South Africa,Perth,30 Nov 2012,3 Nov 2005,7y 27d,76,132,Test # 2064
28,Javed Miandad (PAK),v England,The Oval,6 Aug 1987,9 Oct 1976,10y 301d,86,133,Test # 1079
29,RN Harvey (AUS),v England,Adelaide,25 Jan 1963,23 Jan 1948,15y 2d,78,134,Test # 538
30,JH Kallis (SA),v India,Kanpur,20 Nov 2004,14 Dec 1995,8y 342d,81,134,Test # 1722
31,DPMD Jayawardene (SL),v South Africa,Colombo (SSC),27 Jul 2006,2 Aug 1997,8y 359d,82,134,Test # 1810
32,CA Pujara (INDIA),v Australia,Sydney,7 Jan 2021,9 Oct 2010,10y 90d,80,134,Test # 2402
33,Inzamam-ul-Haq (PAK),v Zimbabwe,Harare,9 Nov 2002,4 Jun 1992,10y 158d,82,135,Test # 1625
34,MJ Clarke (AUS),v West Indies,Port of Spain,15 Apr 2012,6 Oct 2004,7y 192d,82,135,Test # 2041
35,AB de Villiers (SA),v New Zealand,Gqeberha,11 Jan 2013,17 Dec 2004,8y 25d,82,137,Test # 2071
36,JL Langer (AUS),v New Zealand,Adelaide,26 Nov 2004,23 Jan 1993,11y 308d,82,139,Test # 1723
37,MC Cowdrey (ENG),v New Zealand,Auckland,11 Mar 1966,26 Nov 1954,11y 105d,86,140,Test # 604
38,AR Border (AUS),v New Zealand,Christchurch,28 Feb 1986,29 Dec 1978,7y 61d,80,140,Test # 1038
39,G Boycott (ENG),v India,Birmingham,12 Jul 1979,4 Jun 1964,15y 38d,81,141,Test # 851
40,CG Greenidge (WI),v England,Lord's,16 Jun 1988,22 Nov 1974,13y 207d,85,143,Test # 1099
41,M Azharuddin (INDIA),v Pakistan,Kolkata,16 Feb 1999,31 Dec 1984,14y 47d,97,143,Test # 1444
42,LRPL Taylor (NZ),v Bangladesh,Christchurch,20 Jan 2017,8 Nov 2007,9y 73d,80,145,Test # 2248
43,CH Lloyd (WI),v India,Port of Spain,11 Mar 1983,13 Dec 1966,16y 88d,87,146,Test # 952
44,HH Gibbs (SA),v Pakistan,Karachi,1 Oct 2007,27 Nov 1996,10y 308d,85,146,Test # 1843
45,AJ Strauss (ENG),v Australia,Melbourne,26 Dec 2010,20 May 2004,6y 220d,81,146,Test # 1986
46,DI Gower (ENG),v New Zealand,Nottingham,7 Aug 1986,1 Jun 1978,8y 67d,85,147,Test # 1050
47,S Chanderpaul (WI),v Sri Lanka,Colombo (SSC),13 Jul 2005,17 Mar 1994,11y 118d,87,147,Test # 1755
48,DC Boon (AUS),v New Zealand,Hobart,26 Nov 1993,23 Nov 1984,9y 3d,82,148,Test # 1236
49,GA Gooch (ENG),v Australia,Sydney,4 Jan 1991,10 Jul 1975,15y 178d,83,150,Test # 1160
