,Player,Opposition,Ground,Match Date,Debut,Time,Mat,Inns,Scorecard
0,KC Sangakkara (SL),v Pakistan,Sharjah,3 Nov 2011,20 Jul 2000,11y 106d,103,172,Test # 2014
1,R Dravid (ICC/INDIA),v West Indies,Kingston,30 Jun 2006,20 Jun 1996,10y 10d,104,176,Test # 1808
2,BC Lara (WI),v South Africa,Cape Town,2 Jan 2004,6 Dec 1990,13y 27d,101,177,Test # 1681
3,RT Ponting (AUS),v England,Brisbane,23 Nov 2006,8 Dec 1995,10y 350d,106,177,Test # 1817
4,DPMD Jayawardene (SL),v India,Ahmedabad,16 Nov 2009,2 Aug 1997,12y 106d,108,178,Test # 1933
5,SR Tendulkar (INDIA),v Australia,Sydney,2 Jan 2004,15 Nov 1989,14y 48d,111,179,Test # 1680
6,Younis Khan (PAK),v England,Dubai (DSC),22 Oct 2015,26 Feb 2000,15y 238d,103,184,Test # 2183
7,JH Kallis (ICC/SA),v New Zealand,Johannesburg,8 Nov 2007,14 Dec 1995,11y 329d,110,188,Test # 1846
8,SM Gavaskar (INDIA),v Australia,Adelaide,13 Dec 1985,6 Mar 1971,14y 282d,110,192,Test # 1032
9,GC Smith (ICC/SA),v Pakistan,Dubai (DSC),23 Oct 2013,8 Mar 2002,11y 229d,112,195,Test # 2100
10,JE Root (ENG),v India,Lord's,12 Aug 2021,13 Dec 2012,8y 242d,107,196,Test # 2429
11,AN Cook (ENG),v New Zealand,Leeds,29 May 2015,1 Mar 2006,9y 89d,114,204,Test # 2163
12,HM Amla (SA),v Sri Lanka,Colombo (SSC),20 Jul 2018,28 Nov 2004,13y 234d,119,204,Test # 2313
13,AR Border (AUS),v West Indies,Kingston,1 Mar 1991,29 Dec 1978,12y 62d,121,207,Test # 1166
14,SR Waugh (AUS),v England,Birmingham,5 Jul 2001,26 Dec 1985,15y 191d,136,216,Test # 1550
15,S Chanderpaul (WI),v Sri Lanka,Galle,15 Nov 2010,17 Mar 1994,16y 243d,127,216,Test # 1977
