,Player,Runs,Total,%,Inns,,Team,Opposition,Ground,Match Date,Scorecard
61,DCS Compton,158,284,55.63,1,,England,v South Africa,Manchester,7 Jul 1955,Test # 410
62,AB Barath,104,187,55.61,3,,West Indies,v Australia,Brisbane,26 Nov 2009,Test # 1936
63,Younis Khan,175*,315,55.55,2,,Pakistan,v Australia,Sydney,3 Jan 2017,Test # 2245
64,AR Morris,206,371,55.52,1,,Australia,v England,Adelaide,2 Feb 1951,Test # 330
65,MS Dhoni,82,148,55.40,1,,India,v England,The Oval,15 Aug 2014,Test # 2137
66,AB Tancred,26*,47,55.31,2,,South Africa,v England,Cape Town,25 Mar 1889,Test # 32
67,Moin Khan,117*,212,55.18,4,,Pakistan,v Sri Lanka,Sialkot,22 Sep 1995,Test # 1306
68,RR Sarwan,107*,194,55.15,3,,West Indies,v South Africa,Port of Spain,8 Apr 2005,Test # 1747
69,D Elgar,118*,214,55.14,2,,South Africa,v England,Durban,26 Dec 2015,Test # 2196
70,CL Hooper,81,147,55.10,1,,West Indies,v Sri Lanka,Kingstown,20 Jun 1997,Test # 1371
71,FDM Karunaratne,158*,287,55.05,1,,Sri Lanka,v South Africa,Galle,12 Jul 2018,Test # 2311
72,RA Smith,143,260,55.00,1,,England,v Australia,Manchester,27 Jul 1989,Test # 1124
