,Player,Opposition,Ground,Match Date,Debut,Time,Mat,Inns,Scorecard
0,KC Sangakkara (SL),v Bangladesh,Chattogram,4 Feb 2014,20 Jul 2000,13y 199d,122,208,Test # 2117
1,BC Lara (ICC/WI),v Australia,Adelaide,25 Nov 2005,6 Dec 1990,14y 354d,121,213,Test # 1773
2,RT Ponting (AUS),v England,Cardiff,8 Jul 2009,8 Dec 1995,13y 212d,132,222,Test # 1922
3,SR Tendulkar (INDIA),v England,Nottingham,27 Jul 2007,15 Nov 1989,17y 254d,139,223,Test # 1841
4,R Dravid (ICC/INDIA),v Sri Lanka,Ahmedabad,16 Nov 2009,20 Jun 1996,13y 149d,135,234,Test # 1933
5,JH Kallis (ICC/SA),v West Indies,Basseterre,18 Jun 2010,14 Dec 1995,14y 186d,139,234,Test # 1961
6,DPMD Jayawardene (SL),v Pakistan,Sharjah,16 Jan 2014,2 Aug 1997,16y 167d,141,237,Test # 2115
7,AN Cook (ENG),v India,Chennai,16 Dec 2016,1 Mar 2006,10y 290d,140,252,Test # 2241
8,S Chanderpaul (WI),v New Zealand,Dunedin,3 Dec 2013,17 Mar 1994,19y 261d,151,256,Test # 2104
9,AR Border (AUS),v South Africa,Adelaide,28 Jan 1994,29 Dec 1978,15y 30d,153,259,Test # 1246
