,Player,Runs,Mins,Balls,4s,6s,,Team,Opposition,Ground,Match Date,Scorecard
62,RP Arnold,99,299,192,13,1,,Sri Lanka,v Pakistan,Peshawar,5 Mar 2000,Test # 1487
63,MH Richardson,99,378,258,14,0,,New Zealand,v Zimbabwe,Harare,19 Sep 2000,Test # 1511
64,SP Fleming,99,274,210,12,0,,New Zealand,v South Africa,Bloemfontein,17 Nov 2000,Test # 1514
65,DPMD Jayawardene,99,171,133,13,0,,Sri Lanka,v West Indies,Galle,13 Nov 2001,Test # 1567
66,SK Warne,99,213,157,10,0,,Australia,v New Zealand,Perth,30 Nov 2001,Test # 1573
67,ME Trescothick,99,244,156,11,1,,England,v India,Ahmedabad,11 Dec 2001,Test # 1575
68,JH Kallis,99,287,180,8,0,,South Africa,v Australia,Melbourne,26 Dec 2001,Test # 1580
69,Inzamam-ul-Haq,99,300,228,6,1,,Pakistan,v Sri Lanka,Lahore,6 Mar 2002,Test # 1592
70,ND McKenzie,99,306,227,14,0,,South Africa,v Australia,Cape Town,8 Mar 2002,Test # 1593
71,SC Ganguly,99,247,159,13,0,,India,v England,Nottingham,8 Aug 2002,Test # 1612
72,Asim Kamal,99,314,246,11,1,,Pakistan,v South Africa,Lahore,17 Oct 2003,Test # 1664
73,ML Hayden,99,128,98,10,2,,Australia,v India,Brisbane,4 Dec 2003,Test # 1671
74,SM Katich,99,215,157,14,0,,Australia,v India,Nagpur,26 Oct 2004,Test # 1718
75,BB McCullum,99,190,156,10,2,,New Zealand,v Sri Lanka,Napier,4 Apr 2005,Test # 1746
76,JL Langer,99,279,174,10,0,,Australia,v West Indies,Adelaide,25 Nov 2005,Test # 1773
77,Younis Khan,199,476,336,26,0,,Pakistan,v India,Lahore,13 Jan 2006,Test # 1781
78,IR Bell,199,496,336,20,1,,England,v South Africa,Lord's,10 Jul 2008,Test # 1880
79,RT Ponting,99,257,169,7,0,,Australia,v South Africa,Melbourne,26 Dec 2008,Test # 1902
80,DL Vettori,99,237,133,14,0,,New Zealand,v Pakistan,Dunedin,24 Nov 2009,Test # 1934
81,AD Mathews,99,200,131,15,0,,Sri Lanka,v India,Brabourne,2 Dec 2009,Test # 1937
82,SM Katich,99,272,177,10,0,,Australia,v West Indies,Perth,16 Dec 2009,Test # 1941
83,KP Pietersen,99,144,135,15,1,,England,v Bangladesh,Chattogram,12 Mar 2010,Test # 1954
84,V Sehwag,99,186,101,15,0,,India,v Sri Lanka,Colombo (SSC),26 Jul 2010,Test # 1966
85,Misbah-ul-Haq,99,310,207,16,0,,Pakistan,v New Zealand,Wellington,15 Jan 2011,Test # 1991
86,AB de Villiers,99,228,135,12,0,,South Africa,v Sri Lanka,Centurion,15 Dec 2011,Test # 2023
87,MS Dhoni,99,398,246,8,1,,India,v England,Nagpur,13 Dec 2012,Test # 2066
88,MA Starc,99,146,144,14,0,,Australia,v India,Mohali,14 Mar 2013,Test # 2081
89,M Vijay,99,308,234,10,2,,India,v Australia,Adelaide,9 Dec 2014,Test # 2148
90,SE Marsh,99,274,215,11,2,,Australia,v India,Melbourne,26 Dec 2014,Test # 2152
91,SPD Smith,199,513,361,21,2,,Australia,v West Indies,Kingston,11 Jun 2015,Test # 2166
92,KL Rahul,199,450,311,16,3,,India,v England,Chennai,16 Dec 2016,Test # 2241
93,Misbah-ul-Haq,99,258,201,9,2,,Pakistan,v West Indies,Bridgetown,30 Apr 2017,Test # 2260
94,JM Bairstow,99,192,145,14,1,,England,v South Africa,Manchester,4 Aug 2017,Test # 2268
95,D Elgar,199,553,388,15,3,,South Africa,v Bangladesh,Potchefstroom,28 Sep 2017,Test # 2276
96,Babar Azam,99,-,171,6,3,,Pakistan,v Australia,Abu Dhabi,16 Oct 2018,Test # 2322
97,F du Plessis,199,412,276,24,0,,South Africa,v Sri Lanka,Centurion,26 Dec 2020,Test # 2399
98,AD Mathews,199,568,397,19,1,,Sri Lanka,v Bangladesh,Chattogram,15 May 2022,Test # 2462
