,Minutes,Player,Match,Location,Year
0,557,Mudassar Nazar,Pakistan v England,Lahore,1977-78
1,545,DJ McGlew,South Africa v Australia,Durban,1957-58
2,535,AP Gurusinha,Sri Lanka v Zimbabwe,Harare,1994-95
3,516,JJ Crowe,New Zealand v Sri Lanka,Colombo (CCC),1986-87
4,500,SV Manjrekar,India v Zimbabwe,Harare,1992-93
5,488,PE Richardson,England v South Africa,Johannesburg,1956-57
6,458,KWR Fletcher,England v Pakistan,The Oval,1974
