,Player,Opposition,Ground,Match Date,Debut,Time,Mat,Inns,Scorecard
63,HM Amla (SA),v India,Nagpur,6 Feb 2010,28 Nov 2004,5y 70d,42,73,Test # 1951
64,AD Mathews (SL),v Pakistan,Colombo (SSC),14 Aug 2014,4 Jul 2009,5y 41d,44,73,Test # 2136
65,V Kohli (INDIA),v West Indies,North Sound,21 Jul 2016,20 Jun 2011,5y 31d,42,73,Test # 2207
66,Babar Azam (PAK),v Sri Lanka,Galle,16 Jul 2022,13 Oct 2016,5y 276d,41,73,Test # 2472
67,RB Simpson (AUS),v England,Melbourne,30 Dec 1965,23 Dec 1957,8y 7d,42,74,Test # 598
68,CC Hunte (WI),v India,Brabourne,13 Dec 1966,17 Jan 1958,8y 330d,42,74,Test # 610
69,DM Jones (AUS),v West Indies,St John's,27 Apr 1991,16 Mar 1984,7y 42d,44,74,Test # 1170
70,ME Trescothick (ENG),v Bangladesh,Chattogram,29 Oct 2003,3 Aug 2000,3y 87d,40,74,Test # 1667
71,RG Sharma (INDIA),v England,The Oval,2 Sep 2021,6 Nov 2013,7y 300d,43,74,Test # 2433
72,MC Cowdrey (ENG),v South Africa,Nottingham,7 Jul 1960,26 Nov 1954,5y 224d,47,75,Test # 494
73,CH Lloyd (WI),v Pakistan,Lahore,15 Feb 1975,13 Dec 1966,8y 64d,42,75,Test # 756
74,RC Fredericks (WI),v Australia,Melbourne,26 Dec 1975,26 Dec 1968,7y 0d,42,75,Test # 766
75,JL Langer (AUS),v South Africa,Adelaide,14 Dec 2001,23 Jan 1993,8y 325d,46,75,Test # 1576
76,DR Martyn (AUS),v India,Chennai,14 Oct 2004,27 Nov 1992,11y 322d,46,75,Test # 1714
77,AJ Strauss (ENG),v West Indies,Chester-le-Street,15 Jun 2007,20 May 2004,3y 26d,40,75,Test # 1836
78,SM Katich (AUS),v West Indies,Brisbane,26 Nov 2009,16 Aug 2001,8y 102d,44,75,Test # 1936
79,LRPL Taylor (NZ),v India,Bengaluru,31 Aug 2012,8 Nov 2007,4y 297d,41,75,Test # 2055
80,Asad Shafiq (PAK),v West Indies,Abu Dhabi,21 Oct 2016,20 Nov 2010,5y 336d,47,75,Test # 2226
81,M Vijay (INDIA),v England,Visakhapatnam,17 Nov 2016,6 Nov 2008,8y 11d,44,75,Test # 2235
82,TWM Latham (NZ),v Bangladesh,Hamilton,28 Feb 2019,14 Feb 2014,5y 14d,42,75,Test # 2349
