,Player,Opposition,Ground,Match Date,Debut,Time,Mat,Inns,Scorecard
0,DG Bradman (AUS),v England,Leeds,22 Jul 1938,30 Nov 1928,9y 234d,36,56,Test # 265
1,JB Hobbs (ENG),v Australia,Melbourne,8 Mar 1929,1 Jan 1908,21y 66d,55,91,Test # 180
2,GS Sobers (WI),v England,Leeds,4 Aug 1966,30 Mar 1954,12y 127d,56,95,Test # 608
3,SM Gavaskar (INDIA),v Australia,Bengaluru,19 Sep 1979,6 Mar 1971,8y 197d,52,95,Test # 856
4,IVA Richards (WI),v England,Birmingham,14 Jun 1984,22 Nov 1974,9y 205d,64,95,Test # 989
5,ML Hayden (AUS),v Sri Lanka,Cairns,9 Jul 2004,4 Mar 1994,10y 127d,55,95,Test # 1706
6,WR Hammond (ENG),v Australia,Sydney,18 Dec 1936,24 Dec 1927,8y 360d,59,97,Test # 256
7,KF Barrington (ENG),v South Africa,The Oval,26 Aug 1965,9 Jun 1955,10y 78d,61,97,Test # 596
8,SPD Smith (AUS),v India,Ranchi,16 Mar 2017,13 Jul 2010,6y 246d,53,97,Test # 2256
9,L Hutton (ENG),v South Africa,Leeds,26 Jul 1951,26 Jun 1937,14y 30d,55,98,Test # 337
10,V Sehwag (ICC/INDIA),v Sri Lanka,Galle,31 Jul 2008,3 Nov 2001,6y 271d,59,99,Test # 1884
11,SR Tendulkar (INDIA),v Pakistan,Kolkata,16 Feb 1999,15 Nov 1989,9y 93d,67,103,Test # 1444
12,BC Lara (WI),v Australia,Kingston,13 Mar 1999,6 Dec 1990,8y 97d,61,104,Test # 1451
13,RN Harvey (AUS),v India,Delhi,12 Dec 1959,23 Jan 1948,11y 323d,61,105,Test # 482
14,JE Root (ENG),v South Africa,Manchester,4 Aug 2017,13 Dec 2012,4y 234d,57,105,Test # 2268
15,V Kohli (INDIA),v Sri Lanka,Delhi,2 Dec 2017,20 Jun 2011,6y 165d,63,105,Test # 2286
16,GS Chappell (AUS),v Pakistan,Lahore,18 Mar 1980,11 Dec 1970,9y 98d,60,106,Test # 879
17,KC Sangakkara (SL),v New Zealand,Wellington,15 Dec 2006,20 Jul 2000,6y 148d,64,106,Test # 1822
18,Younis Khan (PAK),v Sri Lanka,Karachi,21 Feb 2009,26 Feb 2000,8y 361d,59,106,Test # 1909
19,RB Kanhai (WI),v Australia,Sydney,14 Feb 1969,30 May 1957,11y 260d,61,107,Test # 646
20,Javed Miandad (PAK),v New Zealand,Dunedin,9 Feb 1985,9 Oct 1976,8y 123d,68,107,Test # 1012
21,KP Pietersen (ENG),v Bangladesh,Mirpur,20 Mar 2010,21 Jul 2005,4y 242d,60,107,Test # 1956
22,MEK Hussey (AUS),v Sri Lanka,Colombo (SSC),16 Sep 2011,3 Nov 2005,5y 317d,62,107,Test # 2008
23,R Dravid (INDIA),v England,Leeds,22 Aug 2002,20 Jun 1996,6y 63d,63,108,Test # 1613
24,HH Gibbs (SA),v England,Johannesburg,13 Jan 2005,27 Nov 1996,8y 47d,63,108,Test # 1734
25,Mohammad Yousuf (PAK),v India,Karachi,29 Jan 2006,26 Feb 1998,7y 337d,65,108,Test # 1783
26,CA Pujara (INDIA),v Australia,Adelaide,6 Dec 2018,9 Oct 2010,8y 58d,65,108,Test # 2333
27,HM Amla (SA),v Australia,Brisbane,9 Nov 2012,28 Nov 2004,7y 347d,63,109,Test # 2056
28,DA Warner (AUS),v Pakistan,Melbourne,26 Dec 2016,1 Dec 2011,5y 25d,59,109,Test # 2242
29,RT Ponting (AUS),v Zimbabwe,Sydney,17 Oct 2003,8 Dec 1995,7y 313d,71,110,Test # 1663
30,KS Williamson (NZ),v South Africa,Hamilton,25 Mar 2017,4 Nov 2010,6y 141d,61,110,Test # 2257
31,GC Smith (ICC/SA),v Bangladesh,Chattogram,29 Feb 2008,8 Mar 2002,5y 358d,63,111,Test # 1865
32,DCS Compton (ENG),v South Africa,Lord's,23 Jun 1955,14 Aug 1937,17y 313d,69,113,Test # 409
