,Player,Opposition,Ground,Match Date,Debut,Time,Mat,Inns,Scorecard
0,H Sutcliffe (ENG),v Australia,Melbourne,13 Feb 1925,14 Jun 1924,0y 244d,9,12,Test # 161
1,ED Weekes (WI),v India,Brabourne,4 Feb 1949,21 Jan 1948,1y 14d,9,12,Test # 311
2,DG Bradman (AUS),v England,Leeds,11 Jul 1930,30 Nov 1928,1y 223d,7,13,Test # 196
3,RN Harvey (AUS),v England,Brisbane,1 Dec 1950,23 Jan 1948,2y 312d,10,14,Test # 327
4,VG Kambli (INDIA),v West Indies,Wankhede,18 Nov 1994,29 Jan 1993,1y 293d,12,14,Test # 1274
5,L Hutton (ENG),v West Indies,Lord's,24 Jun 1939,26 Jun 1937,1y 363d,11,16,Test # 272
6,FMM Worrell (WI),v Australia,Adelaide,22 Dec 1951,11 Feb 1948,3y 314d,10,16,Test # 343
7,LG Rowe (WI),v England,Port of Spain,30 Mar 1974,16 Feb 1972,2y 42d,12,16,Test # 738
8,GA Headley (WI),v Australia,Sydney,27 Feb 1931,11 Jan 1930,1y 47d,9,17,Test # 208
9,SG Barnes (AUS),v England,Lord's,24 Jun 1948,20 Aug 1938,9y 309d,11,17,Test # 300
10,GC Smith (SA),v England,Lord's,31 Jul 2003,8 Mar 2002,1y 145d,12,17,Test # 1653
11,GS Ballance (ENG),v West Indies,St George's,21 Apr 2015,3 Jan 2014,1y 108d,10,17,Test # 2158
12,HL Collins (AUS),v England,Sydney,19 Dec 1924,17 Dec 1920,4y 2d,12,18,Test # 158
13,WR Hammond (ENG),v Australia,Adelaide,1 Feb 1929,24 Dec 1927,1y 39d,12,18,Test # 179
14,KD Walters (AUS),v England,Leeds,25 Jul 1968,10 Dec 1965,2y 228d,11,18,Test # 640
15,MA Taylor (AUS),v Sri Lanka,Brisbane,8 Dec 1989,26 Jan 1989,0y 316d,10,18,Test # 1131
16,JC Adams (WI),v India,Mohali,10 Dec 1994,18 Apr 1992,2y 236d,12,18,Test # 1278
17,CA Pujara (INDIA),v Australia,Hyderabad (Deccan),2 Mar 2013,9 Oct 2010,2y 144d,11,18,Test # 2076
18,AC Voges (AUS),v West Indies,Melbourne,26 Dec 2015,3 Jun 2015,0y 206d,12,18,Test # 2195
19,AK Markram (SA),v Australia,Johannesburg,30 Mar 2018,28 Sep 2017,0y 183d,10,18,Test # 2302
20,M Labuschagne (AUS),v New Zealand,Perth,12 Dec 2019,7 Oct 2018,1y 66d,12,18,Test # 2374
21,AR Morris (AUS),v England,Manchester,8 Jul 1948,29 Nov 1946,1y 222d,12,19,Test # 301
22,AJ Strauss (ENG),v South Africa,Cape Town,2 Jan 2005,20 May 2004,0y 227d,10,19,Test # 1732
23,MEK Hussey (AUS),v Bangladesh,Chattogram,16 Apr 2006,3 Nov 2005,0y 164d,11,19,Test # 1799
