,Player,50s,Runs,Inns,,Team,Opposition,Ground,Match Date,Scorecard
332,,,84,2,,South Africa,v Sri Lanka,Centurion,15 Nov 2002,Test # 1626
333,RT Ponting,5,169,2,,Australia,v Zimbabwe,Sydney,17 Oct 2003,Test # 1663
334,,,53*,4,,Australia,v Zimbabwe,Sydney,17 Oct 2003,Test # 1663
335,,,54,1,,Australia,v India,Brisbane,4 Dec 2003,Test # 1671
336,,,50,3,,Australia,v India,Brisbane,4 Dec 2003,Test # 1671
337,,,242,1,,Australia,v India,Adelaide,12 Dec 2003,Test # 1673
338,Inzamam-ul-Haq,5,53,1,,Pakistan,v England,Multan,12 Nov 2005,Test # 1770
339,,,72,3,,Pakistan,v England,Multan,12 Nov 2005,Test # 1770
340,,,109,1,,Pakistan,v England,Faisalabad,20 Nov 2005,Test # 1772
341,,,100*,3,,Pakistan,v England,Faisalabad,20 Nov 2005,Test # 1772
342,,,97,2,,Pakistan,v England,Lahore,29 Nov 2005,Test # 1774
343,RT Ponting,5,118*,4,,Australia,v Bangladesh,Fatullah,9 Apr 2006,Test # 1797
344,,,52,2,,Australia,v Bangladesh,Chattogram,16 Apr 2006,Test # 1799
345,,,196,1,,Australia,v England,Brisbane,23 Nov 2006,Test # 1817
346,,,60*,3,,Australia,v England,Brisbane,23 Nov 2006,Test # 1817
347,,,142,2,,Australia,v England,Adelaide,1 Dec 2006,Test # 1819
348,JH Kallis,5,51,4,,South Africa,v Pakistan,Cape Town,26 Jan 2007,Test # 1830
349,,,155,1,,South Africa,v Pakistan,Karachi,1 Oct 2007,Test # 1843
350,,,100*,3,,South Africa,v Pakistan,Karachi,1 Oct 2007,Test # 1843
351,,,59,1,,South Africa,v Pakistan,Lahore,8 Oct 2007,Test # 1844
352,,,107*,3,,South Africa,v Pakistan,Lahore,8 Oct 2007,Test # 1844
353,HM Amla,5,95,3,,South Africa,v England,Cape Town,3 Jan 2010,Test # 1946
354,,,75,2,,South Africa,v England,Johannesburg,14 Jan 2010,Test # 1948
355,,,253*,1,,South Africa,v India,Nagpur,6 Feb 2010,Test # 1951
356,,,114,1,,South Africa,v India,Kolkata,14 Feb 2010,Test # 1952
357,,,123*,3,,South Africa,v India,Kolkata,14 Feb 2010,Test # 1952
358,Tamim Iqbal,5,85,1,,Bangladesh,v England,Mirpur,20 Mar 2010,Test # 1956
359,,,52,3,,Bangladesh,v England,Mirpur,20 Mar 2010,Test # 1956
360,,,55,2,,Bangladesh,v England,Lord's,27 May 2010,Test # 1958
361,,,103,3,,Bangladesh,v England,Lord's,27 May 2010,Test # 1958
362,,,108,2,,Bangladesh,v England,Manchester,4 Jun 2010,Test # 1959
363,MEK Hussey,5,195,2,,Australia,v England,Brisbane,25 Nov 2010,Test # 1981
364,,,93,1,,Australia,v England,Adelaide,3 Dec 2010,Test # 1983
365,,,52,3,,Australia,v England,Adelaide,3 Dec 2010,Test # 1983
366,,,61,1,,Australia,v England,Perth,16 Dec 2010,Test # 1984
367,,,116,3,,Australia,v England,Perth,16 Dec 2010,Test # 1984
368,IR Bell,5,115,2,,England,v Australia,Sydney,3 Jan 2011,Test # 1989
369,,,103*,2,,England,v Sri Lanka,Cardiff,26 May 2011,Test # 1994
370,,,52,1,,England,v Sri Lanka,Lord's,3 Jun 2011,Test # 1995
371,,,57*,3,,England,v Sri Lanka,Lord's,3 Jun 2011,Test # 1995
372,,,119*,2,,England,v Sri Lanka,Southampton,16 Jun 2011,Test # 1996
373,S Chanderpaul,5,94,2,,West Indies,v Australia,Port of Spain,15 Apr 2012,Test # 2041
374,,,68,2,,West Indies,v Australia,Roseau,23 Apr 2012,Test # 2042
375,,,69,4,,West Indies,v Australia,Roseau,23 Apr 2012,Test # 2042
376,,,87*,1,,West Indies,v England,Lord's,17 May 2012,Test # 2043
377,,,91,3,,West Indies,v England,Lord's,17 May 2012,Test # 2043
378,Sarfaraz Ahmed,5,55,1,,Pakistan,v Sri Lanka,Galle,6 Aug 2014,Test # 2133
379,,,52*,3,,Pakistan,v Sri Lanka,Galle,6 Aug 2014,Test # 2133
380,,,103,2,,Pakistan,v Sri Lanka,Colombo (SSC),14 Aug 2014,Test # 2136
381,,,55,4,,Pakistan,v Sri Lanka,Colombo (SSC),14 Aug 2014,Test # 2136
382,,,109,1,,Pakistan,v Australia,Dubai (DSC),22 Oct 2014,Test # 2140
383,DA Warner,5,64,3,,Australia,v England,Nottingham,6 Aug 2015,Test # 2175
384,,,85,1,,Australia,v England,The Oval,20 Aug 2015,Test # 2178
385,,,163,1,,Australia,v New Zealand,Brisbane,5 Nov 2015,Test # 2185
386,,,116,3,,Australia,v New Zealand,Brisbane,5 Nov 2015,Test # 2185
387,,,253,1,,Australia,v New Zealand,Perth,13 Nov 2015,Test # 2187
388,SPD Smith,5,134*,1,,Australia,v West Indies,Melbourne,26 Dec 2015,Test # 2195
389,,,70*,3,,Australia,v West Indies,Melbourne,26 Dec 2015,Test # 2195
390,,,71,2,,Australia,v New Zealand,Wellington,12 Feb 2016,Test # 2201
391,,,138,2,,Australia,v New Zealand,Christchurch,20 Feb 2016,Test # 2202
392,,,53*,4,,Australia,v New Zealand,Christchurch,20 Feb 2016,Test # 2202
393,Q de Kock,5,82,1,,South Africa,v New Zealand,Centurion,27 Aug 2016,Test # 2220
394,,,50,3,,South Africa,v New Zealand,Centurion,27 Aug 2016,Test # 2220
395,,,84,1,,South Africa,v Australia,Perth,3 Nov 2016,Test # 2230
396,,,64,3,,South Africa,v Australia,Perth,3 Nov 2016,Test # 2230
397,,,104,2,,South Africa,v Australia,Hobart,12 Nov 2016,Test # 2233
398,RG Sharma,5,82,3,,India,v New Zealand,Kolkata,30 Sep 2016,Test # 2222
399,,,51*,1,,India,v New Zealand,Indore,8 Oct 2016,Test # 2223
400,,,102*,2,,India,v Sri Lanka,Nagpur,24 Nov 2017,Test # 2283
401,,,65,1,,India,v Sri Lanka,Delhi,2 Dec 2017,Test # 2286
402,,,50*,3,,India,v Sri Lanka,Delhi,2 Dec 2017,Test # 2286
403,SPD Smith,5,239,2,,Australia,v England,Perth,14 Dec 2017,Test # 2288
404,,,76,1,,Australia,v England,Melbourne,26 Dec 2017,Test # 2289
405,,,102*,3,,Australia,v England,Melbourne,26 Dec 2017,Test # 2289
406,,,83,2,,Australia,v England,Sydney,4 Jan 2018,Test # 2291
407,,,56,1,,Australia,v South Africa,Durban,1 Mar 2018,Test # 2297
408,M Labuschagne,5,185,2,,Australia,v Pakistan,Brisbane,21 Nov 2019,Test # 2368
409,,,162,1,,Australia,v Pakistan,Adelaide,29 Nov 2019,Test # 2372
410,,,143,1,,Australia,v New Zealand,Perth,12 Dec 2019,Test # 2374
411,,,50,3,,Australia,v New Zealand,Perth,12 Dec 2019,Test # 2374
412,,,63,1,,Australia,v New Zealand,Melbourne,26 Dec 2019,Test # 2376
413,Babar Azam,5,102*,2,,Pakistan,v Sri Lanka,Rawalpindi,11 Dec 2019,Test # 2373
414,,,60,1,,Pakistan,v Sri Lanka,Karachi,19 Dec 2019,Test # 2375
415,,,100*,3,,Pakistan,v Sri Lanka,Karachi,19 Dec 2019,Test # 2375
416,,,143,2,,Pakistan,v Bangladesh,Rawalpindi,7 Feb 2020,Test # 2384
417,,,69,1,,Pakistan,v England,Manchester,5 Aug 2020,Test # 2391
418,Mohammad Rizwan,5,72,1,,Pakistan,v England,Southampton,13 Aug 2020,Test # 2392
419,,,53,2,,Pakistan,v England,Southampton,21 Aug 2020,Test # 2393
420,,,71,2,,Pakistan,v New Zealand,Mount Maunganui,26 Dec 2020,Test # 2397
421,,,60,4,,Pakistan,v New Zealand,Mount Maunganui,26 Dec 2020,Test # 2397
422,,,61,1,,Pakistan,v New Zealand,Christchurch,3 Jan 2021,Test # 2400
423,DJ Mitchell,5,108,3,,New Zealand,v England,Lord's,2 Jun 2022,Test # 2464
424,,,190,1,,New Zealand,v England,Nottingham,10 Jun 2022,Test # 2465
425,,,62*,3,,New Zealand,v England,Nottingham,10 Jun 2022,Test # 2465
426,,,109,1,,New Zealand,v England,Leeds,23 Jun 2022,Test # 2467
427,,,56,3,,New Zealand,v England,Leeds,23 Jun 2022,Test # 2467
428,JM Bairstow,5,136,4,,England,v New Zealand,Nottingham,10 Jun 2022,Test # 2465
429,,,162,2,,England,v New Zealand,Leeds,23 Jun 2022,Test # 2467
430,,,71*,4,,England,v New Zealand,Leeds,23 Jun 2022,Test # 2467
431,,,106,2,,England,v India,Birmingham,1 Jul 2022,Test # 2470
432,,,114*,4,,England,v India,Birmingham,1 Jul 2022,Test # 2470
433,Babar Azam,5,196,4,,Pakistan,v Australia,Karachi,12 Mar 2022,Test # 2455
434,,,67,2,,Pakistan,v Australia,Lahore,21 Mar 2022,Test # 2458
435,,,55,4,,Pakistan,v Australia,Lahore,21 Mar 2022,Test # 2458
436,,,119,2,,Pakistan,v Sri Lanka,Galle,16 Jul 2022,Test # 2472
437,,,55,4,,Pakistan,v Sri Lanka,Galle,16 Jul 2022,Test # 2472
